scenario,command,protocol,n,mean,std,ci95_half_width,source_file
medium,ls,ssh,470,177.5387470893617,42.02600387918575,3.7994894124746,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,ls,ssh3,470,154.8040739680851,21.506656498146615,1.9443750563899518,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,ls,mosh,470,163.9669257957447,28.922706492867178,2.614845737312304,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,df -h,ssh,470,180.98430664893618,38.790605846402855,3.5069833582221266,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,df -h,ssh3,470,155.5160974893617,22.270272475338988,2.0134120942410765,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,df -h,mosh,470,166.65424325531916,42.94768354443527,3.8828166814644334,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,grep -n root /etc/passwd,ssh,470,180.6352206680851,39.341993855221155,3.55683327751717,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,grep -n root /etc/passwd,ssh3,470,155.17636910851064,20.51929549207413,1.8551096649040704,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,grep -n root /etc/passwd,mosh,470,169.44291973404256,48.06781736243669,4.345718038630693,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,git status,ssh,300,240.3511659,59.861494161144044,6.773965754533825,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,git status,ssh3,300,239.35735517,53.497902717946005,6.05385759291616,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
medium,git status,mosh,207,288.1250402173913,72.31937389967389,9.852026157461138,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/medium/w1_line_log.csv
high,ls,ssh,470,379.19203503617024,125.89411512269879,11.381842510571342,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,ls,ssh3,470,267.76248108297875,65.29535364661447,5.903226144871882,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,ls,mosh,470,283.6001918,91.14298661727605,8.240060455644825,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,df -h,ssh,470,401.8746598446809,143.13967498105137,12.940980093158865,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,df -h,ssh3,470,273.68941951276594,76.63239981547707,6.928186476840607,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,df -h,mosh,470,282.2189415531915,82.72889553668094,7.47935881795827,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,grep -n root /etc/passwd,ssh,470,380.15360912978724,127.32809552739128,11.511485894724352,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,grep -n root /etc/passwd,ssh3,470,266.26242328085107,79.88753777668533,7.222477179694713,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,grep -n root /etc/passwd,mosh,470,276.53303319361703,68.07537574169262,6.1545625447603864,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,git status,ssh,300,376.3810050166667,132.06279933084423,14.944312577745292,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,git status,ssh3,300,363.7560870433333,92.86416266529068,10.508569265323453,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
high,git status,mosh,208,455.21820205288464,139.35076364703733,18.93798450509105,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/high/w1_line_log.csv
