scenario,protocol,command,trial_id,session_setup_ms
default,ssh,find /etc /var/log -type f 2>/dev/null,1,435.842252
default,ssh,find /etc /var/log -type f 2>/dev/null,2,244.854553
default,ssh,find /etc /var/log -type f 2>/dev/null,3,250.353427
default,ssh,find /etc /var/log -type f 2>/dev/null,4,303.338608
default,ssh,find /etc /var/log -type f 2>/dev/null,5,250.430455
default,ssh,find /etc /var/log -type f 2>/dev/null,6,282.004706
default,ssh,find /etc /var/log -type f 2>/dev/null,7,234.661576
default,ssh,find /etc /var/log -type f 2>/dev/null,8,279.961921
default,ssh,find /etc /var/log -type f 2>/dev/null,9,257.168691
default,ssh,find /etc /var/log -type f 2>/dev/null,10,237.792866
default,ssh,find /usr/share -type f 2>/dev/null,1,254.755168
default,ssh,find /usr/share -type f 2>/dev/null,2,239.840461
default,ssh,find /usr/share -type f 2>/dev/null,3,227.001015
default,ssh,find /usr/share -type f 2>/dev/null,4,287.722155
default,ssh,find /usr/share -type f 2>/dev/null,5,255.870934
default,ssh,find /usr/share -type f 2>/dev/null,6,251.622638
default,ssh,find /usr/share -type f 2>/dev/null,7,259.529066
default,ssh,find /usr/share -type f 2>/dev/null,8,231.436984
default,ssh,find /usr/share -type f 2>/dev/null,9,240.461268
default,ssh,find /usr/share -type f 2>/dev/null,10,238.624094
default,ssh,find /usr -type f 2>/dev/null,1,281.568046
default,ssh,find /usr -type f 2>/dev/null,2,232.880362
default,ssh,find /usr -type f 2>/dev/null,3,278.227139
default,ssh,find /usr -type f 2>/dev/null,4,241.409296
default,ssh,find /usr -type f 2>/dev/null,5,231.642475
default,ssh,find /usr -type f 2>/dev/null,6,247.488607
default,ssh,find /usr -type f 2>/dev/null,7,244.997282
default,ssh,find /usr -type f 2>/dev/null,8,231.306604
default,ssh,find /usr -type f 2>/dev/null,9,231.902915
default,ssh,find /usr -type f 2>/dev/null,10,224.677315
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,62.500087
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,60.015634
default,ssh3,find /etc /var/log -type f 2>/dev/null,3,67.553961
default,ssh3,find /etc /var/log -type f 2>/dev/null,4,60.370584
default,ssh3,find /etc /var/log -type f 2>/dev/null,5,61.917481
default,ssh3,find /etc /var/log -type f 2>/dev/null,6,60.429741
default,ssh3,find /etc /var/log -type f 2>/dev/null,7,60.227562
default,ssh3,find /etc /var/log -type f 2>/dev/null,8,57.468972
default,ssh3,find /etc /var/log -type f 2>/dev/null,9,69.880559
default,ssh3,find /etc /var/log -type f 2>/dev/null,10,61.210303
default,ssh3,find /usr/share -type f 2>/dev/null,1,90.249557
default,ssh3,find /usr/share -type f 2>/dev/null,2,64.914435
default,ssh3,find /usr/share -type f 2>/dev/null,3,64.251916
default,ssh3,find /usr/share -type f 2>/dev/null,4,63.347196
default,ssh3,find /usr/share -type f 2>/dev/null,5,59.530171
default,ssh3,find /usr/share -type f 2>/dev/null,6,71.651909
default,ssh3,find /usr/share -type f 2>/dev/null,7,60.676925
default,ssh3,find /usr/share -type f 2>/dev/null,8,66.035471
default,ssh3,find /usr/share -type f 2>/dev/null,9,58.544927
default,ssh3,find /usr/share -type f 2>/dev/null,10,70.029177
default,ssh3,find /usr -type f 2>/dev/null,1,65.698696
default,ssh3,find /usr -type f 2>/dev/null,2,66.193268
default,ssh3,find /usr -type f 2>/dev/null,3,61.062110
default,ssh3,find /usr -type f 2>/dev/null,4,59.997747
default,ssh3,find /usr -type f 2>/dev/null,5,65.398544
default,ssh3,find /usr -type f 2>/dev/null,6,62.486362
default,ssh3,find /usr -type f 2>/dev/null,7,59.891356
default,ssh3,find /usr -type f 2>/dev/null,8,73.165725
default,ssh3,find /usr -type f 2>/dev/null,9,67.951777
default,ssh3,find /usr -type f 2>/dev/null,10,66.392943
default,mosh,find /etc /var/log -type f 2>/dev/null,1,358.403273
default,mosh,find /etc /var/log -type f 2>/dev/null,2,356.458431
default,mosh,find /etc /var/log -type f 2>/dev/null,3,385.361393
default,mosh,find /etc /var/log -type f 2>/dev/null,4,313.118885
default,mosh,find /etc /var/log -type f 2>/dev/null,5,389.505956
default,mosh,find /etc /var/log -type f 2>/dev/null,6,329.491007
default,mosh,find /etc /var/log -type f 2>/dev/null,7,336.351439
default,mosh,find /etc /var/log -type f 2>/dev/null,8,410.449571
default,mosh,find /etc /var/log -type f 2>/dev/null,9,371.790565
default,mosh,find /etc /var/log -type f 2>/dev/null,10,430.881325
default,mosh,find /usr/share -type f 2>/dev/null,1,343.525131
default,mosh,find /usr/share -type f 2>/dev/null,2,337.507925
default,mosh,find /usr/share -type f 2>/dev/null,3,371.113987
default,mosh,find /usr/share -type f 2>/dev/null,4,348.450799
default,mosh,find /usr/share -type f 2>/dev/null,5,366.377096
default,mosh,find /usr/share -type f 2>/dev/null,6,388.266670
default,mosh,find /usr/share -type f 2>/dev/null,7,335.857613
default,mosh,find /usr/share -type f 2>/dev/null,8,337.229682
default,mosh,find /usr/share -type f 2>/dev/null,9,354.026507
default,mosh,find /usr/share -type f 2>/dev/null,10,344.660096
default,mosh,find /usr -type f 2>/dev/null,1,696.816151
default,mosh,find /usr -type f 2>/dev/null,2,369.092613
default,mosh,find /usr -type f 2>/dev/null,3,342.934823
default,mosh,find /usr -type f 2>/dev/null,4,384.886894
default,mosh,find /usr -type f 2>/dev/null,5,358.262708
default,mosh,find /usr -type f 2>/dev/null,6,346.244004
default,mosh,find /usr -type f 2>/dev/null,7,369.031600
default,mosh,find /usr -type f 2>/dev/null,8,377.909936
default,mosh,find /usr -type f 2>/dev/null,9,357.880823
default,mosh,find /usr -type f 2>/dev/null,10,404.029535
