[ ssh/interactive_shell ] trial  1 measure  93/100: 23.30 ms
[ ssh/interactive_shell ] trial  1 measure  94/100: 17.02 ms
[ ssh/interactive_shell ] trial  1 measure  95/100: 19.70 ms
[ ssh/interactive_shell ] trial  1 measure  96/100: 19.36 ms
[ ssh/interactive_shell ] trial  1 measure  97/100: 26.02 ms
[ ssh/interactive_shell ] trial  1 measure  98/100: 14.26 ms
[ ssh/interactive_shell ] trial  1 measure  99/100: 19.09 ms
[ ssh/interactive_shell ] trial  1 measure 100/100: 19.80 ms
[ ssh/interactive_shell ] trial  2/10 opening session...
[ ssh/interactive_shell ] trial  2/10 session_setup=261.6 ms
[ ssh/interactive_shell ] trial  2 measure   1/100: 3.54 ms
[ ssh/interactive_shell ] trial  2 measure   2/100: 19.93 ms
[ ssh/interactive_shell ] trial  2 measure   3/100: 19.18 ms
[ ssh/interactive_shell ] trial  2 measure   4/100: 20.82 ms
[ ssh/interactive_shell ] trial  2 measure   5/100: 20.64 ms
[ ssh/interactive_shell ] trial  2 measure   6/100: 19.89 ms
[ ssh/interactive_shell ] trial  2 measure   7/100: 20.04 ms
[ ssh/interactive_shell ] trial  2 measure   8/100: 20.03 ms
[ ssh/interactive_shell ] trial  2 measure   9/100: 19.68 ms
[ ssh/interactive_shell ] trial  2 measure  10/100: 20.86 ms
[ ssh/interactive_shell ] trial  2 measure  11/100: 19.61 ms
[ ssh/interactive_shell ] trial  2 measure  12/100: 20.65 ms
[ ssh/interactive_shell ] trial  2 measure  13/100: 18.29 ms
[ ssh/interactive_shell ] trial  2 measure  14/100: 20.96 ms
[ ssh/interactive_shell ] trial  2 measure  15/100: 20.67 ms
[ ssh/interactive_shell ] trial  2 measure  16/100: 18.91 ms
[ ssh/interactive_shell ] trial  2 measure  17/100: 19.80 ms
[ ssh/interactive_shell ] trial  2 measure  18/100: 20.60 ms
[ ssh/interactive_shell ] trial  2 measure  19/100: 21.96 ms
[ ssh/interactive_shell ] trial  2 measure  20/100: 21.07 ms
[ ssh/interactive_shell ] trial  2 measure  21/100: 17.34 ms
[ ssh/interactive_shell ] trial  2 measure  22/100: 20.83 ms
[ ssh/interactive_shell ] trial  2 measure  23/100: 19.46 ms
[ ssh/interactive_shell ] trial  2 measure  24/100: 20.88 ms
[ ssh/interactive_shell ] trial  2 measure  25/100: 19.77 ms
[ ssh/interactive_shell ] trial  2 measure  26/100: 19.49 ms
[ ssh/interactive_shell ] trial  2 measure  27/100: 19.57 ms
[ ssh/interactive_shell ] trial  2 measure  28/100: 20.14 ms
[ ssh/interactive_shell ] trial  2 measure  29/100: 20.08 ms
[ ssh/interactive_shell ] trial  2 measure  30/100: 21.08 ms
[ ssh/interactive_shell ] trial  2 measure  31/100: 20.58 ms
[ ssh/interactive_shell ] trial  2 measure  32/100: 20.48 ms
[ ssh/interactive_shell ] trial  2 measure  33/100: 22.99 ms
[ ssh/interactive_shell ] trial  2 measure  34/100: 16.48 ms
[ ssh/interactive_shell ] trial  2 measure  35/100: 18.83 ms
[ ssh/interactive_shell ] trial  2 measure  36/100: 21.80 ms
[ ssh/interactive_shell ] trial  2 measure  37/100: 19.27 ms
[ ssh/interactive_shell ] trial  2 measure  38/100: 17.78 ms
[ ssh/interactive_shell ] trial  2 measure  39/100: 20.91 ms
[ ssh/interactive_shell ] trial  2 measure  40/100: 21.43 ms
[ ssh/interactive_shell ] trial  2 measure  41/100: 19.87 ms
[ ssh/interactive_shell ] trial  2 measure  42/100: 21.25 ms
[ ssh/interactive_shell ] trial  2 measure  43/100: 19.76 ms
[ ssh/interactive_shell ] trial  2 measure  44/100: 21.49 ms
[ ssh/interactive_shell ] trial  2 measure  45/100: 18.30 ms
[ ssh/interactive_shell ] trial  2 measure  46/100: 20.30 ms
[ ssh/interactive_shell ] trial  2 measure  47/100: 18.90 ms
[ ssh/interactive_shell ] trial  2 measure  48/100: 21.82 ms
[ ssh/interactive_shell ] trial  2 measure  49/100: 21.16 ms
[ ssh/interactive_shell ] trial  2 measure  50/100: 21.01 ms
[ ssh/interactive_shell ] trial  2 measure  51/100: 18.15 ms
[ ssh/interactive_shell ] trial  2 measure  52/100: 19.14 ms
[ ssh/interactive_shell ] trial  2 measure  53/100: 21.26 ms
[ ssh/interactive_shell ] trial  2 measure  54/100: 20.60 ms
[ ssh/interactive_shell ] trial  2 measure  55/100: 21.14 ms
[ ssh/interactive_shell ] trial  2 measure  56/100: 18.63 ms
[ ssh/interactive_shell ] trial  2 measure  57/100: 20.70 ms
[ ssh/interactive_shell ] trial  2 measure  58/100: 19.70 ms
[ ssh/interactive_shell ] trial  2 measure  59/100: 20.91 ms
[ ssh/interactive_shell ] trial  2 measure  60/100: 21.18 ms
[ ssh/interactive_shell ] trial  2 measure  61/100: 19.74 ms
[ ssh/interactive_shell ] trial  2 measure  62/100: 19.54 ms
[ ssh/interactive_shell ] trial  2 measure  63/100: 20.72 ms
[ ssh/interactive_shell ] trial  2 measure  64/100: 19.32 ms
[ ssh/interactive_shell ] trial  2 measure  65/100: 20.87 ms
[ ssh/interactive_shell ] trial  2 measure  66/100: 19.98 ms
[ ssh/interactive_shell ] trial  2 measure  67/100: 20.60 ms
[ ssh/interactive_shell ] trial  2 measure  68/100: 20.57 ms
[ ssh/interactive_shell ] trial  2 measure  69/100: 21.10 ms
[ ssh/interactive_shell ] trial  2 measure  70/100: 20.40 ms
[ ssh/interactive_shell ] trial  2 measure  71/100: 19.80 ms
[ ssh/interactive_shell ] trial  2 measure  72/100: 19.65 ms
[ ssh/interactive_shell ] trial  2 measure  73/100: 20.26 ms
[ ssh/interactive_shell ] trial  2 measure  74/100: 19.29 ms
[ ssh/interactive_shell ] trial  2 measure  75/100: 19.43 ms
[ ssh/interactive_shell ] trial  2 measure  76/100: 20.00 ms
[ ssh/interactive_shell ] trial  2 measure  77/100: 18.61 ms
[ ssh/interactive_shell ] trial  2 measure  78/100: 20.63 ms
[ ssh/interactive_shell ] trial  2 measure  79/100: 20.12 ms
[ ssh/interactive_shell ] trial  2 measure  80/100: 21.03 ms
[ ssh/interactive_shell ] trial  2 measure  81/100: 20.52 ms
[ ssh/interactive_shell ] trial  2 measure  82/100: 18.51 ms
[ ssh/interactive_shell ] trial  2 measure  83/100: 20.22 ms
[ ssh/interactive_shell ] trial  2 measure  84/100: 19.62 ms
[ ssh/interactive_shell ] trial  2 measure  85/100: 19.39 ms
[ ssh/interactive_shell ] trial  2 measure  86/100: 19.79 ms
[ ssh/interactive_shell ] trial  2 measure  87/100: 20.64 ms
[ ssh/interactive_shell ] trial  2 measure  88/100: 21.05 ms
[ ssh/interactive_shell ] trial  2 measure  89/100: 19.32 ms
[ ssh/interactive_shell ] trial  2 measure  90/100: 20.94 ms
[ ssh/interactive_shell ] trial  2 measure  91/100: 19.86 ms
[ ssh/interactive_shell ] trial  2 measure  92/100: 19.89 ms
[ ssh/interactive_shell ] trial  2 measure  93/100: 19.03 ms
[ ssh/interactive_shell ] trial  2 measure  94/100: 19.69 ms
[ ssh/interactive_shell ] trial  2 measure  95/100: 20.19 ms
[ ssh/interactive_shell ] trial  2 measure  96/100: 21.03 ms
[ ssh/interactive_shell ] trial  2 measure  97/100: 24.50 ms
[ ssh/interactive_shell ] trial  2 measure  98/100: 15.30 ms
[ ssh/interactive_shell ] trial  2 measure  99/100: 23.70 ms
[ ssh/interactive_shell ] trial  2 measure 100/100: 15.43 ms
[ ssh/interactive_shell ] trial  3/10 opening session...
[ ssh/interactive_shell ] trial  3/10 session_setup=260.9 ms
[ ssh/interactive_shell ] trial  3 measure   1/100: 1.68 ms
[ ssh/interactive_shell ] trial  3 measure   2/100: 18.83 ms
[ ssh/interactive_shell ] trial  3 measure   3/100: 20.18 ms
[ ssh/interactive_shell ] trial  3 measure   4/100: 19.09 ms
[ ssh/interactive_shell ] trial  3 measure   5/100: 18.48 ms
[ ssh/interactive_shell ] trial  3 measure   6/100: 20.01 ms
[ ssh/interactive_shell ] trial  3 measure   7/100: 17.74 ms
[ ssh/interactive_shell ] trial  3 measure   8/100: 19.83 ms
[ ssh/interactive_shell ] trial  3 measure   9/100: 18.23 ms
[ ssh/interactive_shell ] trial  3 measure  10/100: 20.31 ms
[ ssh/interactive_shell ] trial  3 measure  11/100: 19.61 ms
[ ssh/interactive_shell ] trial  3 measure  12/100: 19.13 ms
[ ssh/interactive_shell ] trial  3 measure  13/100: 18.28 ms
[ ssh/interactive_shell ] trial  3 measure  14/100: 19.63 ms
[ ssh/interactive_shell ] trial  3 measure  15/100: 19.61 ms
[ ssh/interactive_shell ] trial  3 measure  16/100: 18.22 ms
[ ssh/interactive_shell ] trial  3 measure  17/100: 19.85 ms
[ ssh/interactive_shell ] trial  3 measure  18/100: 20.46 ms
[ ssh/interactive_shell ] trial  3 measure  19/100: 16.96 ms
[ ssh/interactive_shell ] trial  3 measure  20/100: 19.96 ms
[ ssh/interactive_shell ] trial  3 measure  21/100: 19.50 ms
[ ssh/interactive_shell ] trial  3 measure  22/100: 19.45 ms
[ ssh/interactive_shell ] trial  3 measure  23/100: 19.26 ms
[ ssh/interactive_shell ] trial  3 measure  24/100: 20.38 ms
[ ssh/interactive_shell ] trial  3 measure  25/100: 19.11 ms
[ ssh/interactive_shell ] trial  3 measure  26/100: 18.39 ms
[ ssh/interactive_shell ] trial  3 measure  27/100: 19.22 ms
[ ssh/interactive_shell ] trial  3 measure  28/100: 18.80 ms
[ ssh/interactive_shell ] trial  3 measure  29/100: 19.17 ms
[ ssh/interactive_shell ] trial  3 measure  30/100: 18.64 ms
[ ssh/interactive_shell ] trial  3 measure  31/100: 19.58 ms
[ ssh/interactive_shell ] trial  3 measure  32/100: 19.34 ms
[ ssh/interactive_shell ] trial  3 measure  33/100: 20.92 ms
[ ssh/interactive_shell ] trial  3 measure  34/100: 15.18 ms
[ ssh/interactive_shell ] trial  3 measure  35/100: 18.22 ms
[ ssh/interactive_shell ] trial  3 measure  36/100: 19.94 ms
[ ssh/interactive_shell ] trial  3 measure  37/100: 18.39 ms
[ ssh/interactive_shell ] trial  3 measure  38/100: 20.37 ms
[ ssh/interactive_shell ] trial  3 measure  39/100: 18.27 ms
[ ssh/interactive_shell ] trial  3 measure  40/100: 18.70 ms
[ ssh/interactive_shell ] trial  3 measure  41/100: 19.90 ms
[ ssh/interactive_shell ] trial  3 measure  42/100: 19.47 ms
[ ssh/interactive_shell ] trial  3 measure  43/100: 18.77 ms
[ ssh/interactive_shell ] trial  3 measure  44/100: 21.67 ms
[ ssh/interactive_shell ] trial  3 measure  45/100: 18.08 ms
[ ssh/interactive_shell ] trial  3 measure  46/100: 17.89 ms
[ ssh/interactive_shell ] trial  3 measure  47/100: 19.63 ms
[ ssh/interactive_shell ] trial  3 measure  48/100: 18.46 ms
[ ssh/interactive_shell ] trial  3 measure  49/100: 18.69 ms
[ ssh/interactive_shell ] trial  3 measure  50/100: 18.93 ms
[ ssh/interactive_shell ] trial  3 measure  51/100: 18.04 ms
[ ssh/interactive_shell ] trial  3 measure  52/100: 18.49 ms
[ ssh/interactive_shell ] trial  3 measure  53/100: 20.19 ms
[ ssh/interactive_shell ] trial  3 measure  54/100: 19.11 ms
[ ssh/interactive_shell ] trial  3 measure  55/100: 19.49 ms
[ ssh/interactive_shell ] trial  3 measure  56/100: 18.21 ms
[ ssh/interactive_shell ] trial  3 measure  57/100: 18.86 ms
[ ssh/interactive_shell ] trial  3 measure  58/100: 18.75 ms
[ ssh/interactive_shell ] trial  3 measure  59/100: 19.93 ms
[ ssh/interactive_shell ] trial  3 measure  60/100: 20.05 ms
[ ssh/interactive_shell ] trial  3 measure  61/100: 19.06 ms
[ ssh/interactive_shell ] trial  3 measure  62/100: 18.21 ms
[ ssh/interactive_shell ] trial  3 measure  63/100: 19.29 ms
[ ssh/interactive_shell ] trial  3 measure  64/100: 21.86 ms
[ ssh/interactive_shell ] trial  3 measure  65/100: 19.44 ms
[ ssh/interactive_shell ] trial  3 measure  66/100: 18.51 ms
[ ssh/interactive_shell ] trial  3 measure  67/100: 16.82 ms
[ ssh/interactive_shell ] trial  3 measure  68/100: 18.12 ms
[ ssh/interactive_shell ] trial  3 measure  69/100: 19.67 ms
[ ssh/interactive_shell ] trial  3 measure  70/100: 19.03 ms
[ ssh/interactive_shell ] trial  3 measure  71/100: 17.69 ms
[ ssh/interactive_shell ] trial  3 measure  72/100: 19.48 ms
[ ssh/interactive_shell ] trial  3 measure  73/100: 18.90 ms
[ ssh/interactive_shell ] trial  3 measure  74/100: 19.80 ms
[ ssh/interactive_shell ] trial  3 measure  75/100: 20.11 ms
[ ssh/interactive_shell ] trial  3 measure  76/100: 21.08 ms
[ ssh/interactive_shell ] trial  3 measure  77/100: 16.74 ms
[ ssh/interactive_shell ] trial  3 measure  78/100: 20.85 ms
[ ssh/interactive_shell ] trial  3 measure  79/100: 18.44 ms
[ ssh/interactive_shell ] trial  3 measure  80/100: 18.59 ms
[ ssh/interactive_shell ] trial  3 measure  81/100: 19.26 ms
[ ssh/interactive_shell ] trial  3 measure  82/100: 20.52 ms
[ ssh/interactive_shell ] trial  3 measure  83/100: 18.95 ms
[ ssh/interactive_shell ] trial  3 measure  84/100: 17.98 ms
[ ssh/interactive_shell ] trial  3 measure  85/100: 19.32 ms
[ ssh/interactive_shell ] trial  3 measure  86/100: 19.62 ms
[ ssh/interactive_shell ] trial  3 measure  87/100: 21.22 ms
[ ssh/interactive_shell ] trial  3 measure  88/100: 18.15 ms
[ ssh/interactive_shell ] trial  3 measure  89/100: 19.18 ms
[ ssh/interactive_shell ] trial  3 measure  90/100: 19.78 ms
[ ssh/interactive_shell ] trial  3 measure  91/100: 18.89 ms
[ ssh/interactive_shell ] trial  3 measure  92/100: 19.07 ms
[ ssh/interactive_shell ] trial  3 measure  93/100: 18.70 ms
[ ssh/interactive_shell ] trial  3 measure  94/100: 21.86 ms
[ ssh/interactive_shell ] trial  3 measure  95/100: 16.46 ms
[ ssh/interactive_shell ] trial  3 measure  96/100: 19.58 ms
[ ssh/interactive_shell ] trial  3 measure  97/100: 17.60 ms
[ ssh/interactive_shell ] trial  3 measure  98/100: 18.53 ms
[ ssh/interactive_shell ] trial  3 measure  99/100: 19.90 ms
[ ssh/interactive_shell ] trial  3 measure 100/100: 19.68 ms
[ ssh/interactive_shell ] trial  4/10 opening session...
[ ssh/interactive_shell ] trial  4/10 session_setup=234.2 ms
[ ssh/interactive_shell ] trial  4 measure   1/100: 18.27 ms
[ ssh/interactive_shell ] trial  4 measure   2/100: 19.54 ms
[ ssh/interactive_shell ] trial  4 measure   3/100: 18.88 ms
[ ssh/interactive_shell ] trial  4 measure   4/100: 19.11 ms
[ ssh/interactive_shell ] trial  4 measure   5/100: 19.71 ms
[ ssh/interactive_shell ] trial  4 measure   6/100: 20.45 ms
[ ssh/interactive_shell ] trial  4 measure   7/100: 19.95 ms
[ ssh/interactive_shell ] trial  4 measure   8/100: 19.93 ms
[ ssh/interactive_shell ] trial  4 measure   9/100: 20.25 ms
[ ssh/interactive_shell ] trial  4 measure  10/100: 21.07 ms
[ ssh/interactive_shell ] trial  4 measure  11/100: 20.15 ms
[ ssh/interactive_shell ] trial  4 measure  12/100: 18.46 ms
[ ssh/interactive_shell ] trial  4 measure  13/100: 19.46 ms
[ ssh/interactive_shell ] trial  4 measure  14/100: 19.73 ms
[ ssh/interactive_shell ] trial  4 measure  15/100: 19.10 ms
[ ssh/interactive_shell ] trial  4 measure  16/100: 21.15 ms
[ ssh/interactive_shell ] trial  4 measure  17/100: 18.49 ms
[ ssh/interactive_shell ] trial  4 measure  18/100: 19.08 ms
[ ssh/interactive_shell ] trial  4 measure  19/100: 20.27 ms
[ ssh/interactive_shell ] trial  4 measure  20/100: 20.43 ms
[ ssh/interactive_shell ] trial  4 measure  21/100: 20.46 ms
[ ssh/interactive_shell ] trial  4 measure  22/100: 21.70 ms
[ ssh/interactive_shell ] trial  4 measure  23/100: 21.07 ms
[ ssh/interactive_shell ] trial  4 measure  24/100: 18.82 ms
[ ssh/interactive_shell ] trial  4 measure  25/100: 19.40 ms
[ ssh/interactive_shell ] trial  4 measure  26/100: 19.06 ms
