scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,36,1,find /etc /var/log -type f 2>/dev/null,43.868843,28772,640.492302,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,37,1,find /etc /var/log -type f 2>/dev/null,43.171724,28772,650.834705,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,38,1,find /etc /var/log -type f 2>/dev/null,40.948146,28772,686.176518,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,39,1,find /etc /var/log -type f 2>/dev/null,44.640536,28772,629.420226,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,40,1,find /etc /var/log -type f 2>/dev/null,43.022375,28772,653.094030,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,41,1,find /etc /var/log -type f 2>/dev/null,41.556433,28772,676.132532,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,42,1,find /etc /var/log -type f 2>/dev/null,42.402346,28772,662.643908,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,43,1,find /etc /var/log -type f 2>/dev/null,41.415565,28787,678.785975,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,44,1,find /etc /var/log -type f 2>/dev/null,42.996634,28772,653.485020,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,45,1,find /etc /var/log -type f 2>/dev/null,48.900974,28787,574.882306,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,46,1,find /etc /var/log -type f 2>/dev/null,50.814391,28772,552.946827,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,47,1,find /etc /var/log -type f 2>/dev/null,40.753796,28772,689.448812,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,48,1,find /etc /var/log -type f 2>/dev/null,44.612629,28787,630.142301,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,49,1,find /etc /var/log -type f 2>/dev/null,40.998849,28772,685.327928,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,50,1,find /etc /var/log -type f 2>/dev/null,41.213215,28772,681.763271,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,51,1,find /etc /var/log -type f 2>/dev/null,44.707072,28787,628.811135,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,52,1,find /etc /var/log -type f 2>/dev/null,43.634939,28772,643.925645,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,53,1,find /etc /var/log -type f 2>/dev/null,44.518538,28787,631.474122,100.00,ok,,
