scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,residual_bytes,status,warmup,error_type,error_message
medium,ssh,command_loop,1,3,4,grep -n root /etc/passwd,81.250726,100.00,0,ok,1,,
medium,ssh,command_loop,1,4,4,grep -n root /etc/passwd,68.169963,100.00,0,ok,0,,
medium,ssh,command_loop,1,5,4,grep -n root /etc/passwd,81.938221,100.00,0,ok,0,,
medium,ssh,command_loop,2,1,4,grep -n root /etc/passwd,108.730483,55.88,0,ok,1,,
medium,ssh,command_loop,2,2,4,grep -n root /etc/passwd,50.444139,100.00,0,ok,1,,
medium,ssh,command_loop,2,3,4,grep -n root /etc/passwd,98.453628,100.00,0,ok,1,,
medium,ssh,command_loop,2,4,4,grep -n root /etc/passwd,53.945504,100.00,0,ok,0,,
medium,ssh,command_loop,2,5,4,grep -n root /etc/passwd,86.922854,100.00,0,ok,0,,
medium,ssh3,command_loop,1,1,1,ls,107.516307,7.76,0,ok,1,,
medium,ssh3,command_loop,1,2,1,ls,50.506398,100.00,0,ok,1,,
medium,ssh3,command_loop,1,3,1,ls,270.882122,100.00,507,ok,1,,
medium,ssh3,command_loop,1,4,1,ls,159.804247,100.00,0,ok,0,,
medium,ssh3,command_loop,1,5,1,ls,166.137704,100.00,0,ok,0,,
medium,ssh3,command_loop,2,1,1,ls,104.654880,7.76,0,ok,1,,
medium,ssh3,command_loop,2,2,1,ls,240.928898,100.00,520,ok,1,,
medium,ssh3,command_loop,2,3,1,ls,157.733723,100.00,0,ok,1,,
medium,ssh3,command_loop,2,4,1,ls,154.797705,100.00,0,ok,0,,
medium,ssh3,command_loop,2,5,1,ls,301.316394,100.00,0,ok,0,,
medium,ssh,command_loop,1,1,1,ls,105.774705,7.76,0,ok,1,,
medium,ssh,command_loop,1,2,1,ls,50.471823,100.00,0,ok,1,,
medium,ssh,command_loop,1,3,1,ls,93.999174,100.00,0,ok,1,,
medium,ssh,command_loop,1,4,1,ls,51.969535,100.00,0,ok,0,,
medium,ssh,command_loop,1,5,1,ls,104.217049,100.00,0,ok,0,,
medium,ssh,command_loop,2,1,1,ls,107.875135,7.76,0,ok,1,,
medium,ssh,command_loop,2,2,1,ls,180.139013,100.00,0,ok,1,,
medium,ssh,command_loop,2,3,1,ls,50.247843,100.00,0,ok,1,,
medium,ssh,command_loop,2,4,1,ls,94.674133,100.00,0,ok,0,,
medium,ssh,command_loop,2,5,1,ls,72.201841,100.00,0,ok,0,,
medium,ssh,command_loop,1,1,2,df -h,102.027859,5.05,0,ok,1,,
medium,ssh,command_loop,1,2,2,df -h,74.010846,100.00,0,ok,1,,
medium,ssh,command_loop,1,3,2,df -h,133.840309,100.00,0,ok,1,,
medium,ssh,command_loop,1,4,2,df -h,50.448008,100.00,0,ok,0,,
medium,ssh,command_loop,1,5,2,df -h,95.093832,100.00,0,ok,0,,
medium,ssh,command_loop,2,1,2,df -h,103.645570,5.05,0,ok,1,,
medium,ssh,command_loop,2,2,2,df -h,82.885341,100.00,0,ok,1,,
medium,ssh,command_loop,2,3,2,df -h,207.472915,100.00,0,ok,1,,
medium,ssh,command_loop,2,4,2,df -h,50.198601,100.00,0,ok,0,,
medium,ssh,command_loop,2,5,2,df -h,100.131297,100.00,0,ok,0,,
medium,mosh,command_loop,1,1,3,ps aux,106.110829,0.09,0,ok,1,,
medium,mosh,command_loop,1,2,3,ps aux,108.450647,24.92,0,ok,1,,
medium,mosh,command_loop,1,3,3,ps aux,50.525247,0.00,0,ok,1,,
medium,mosh,command_loop,1,4,3,ps aux,50.972411,8.03,0,ok,0,,
medium,mosh,command_loop,1,5,3,ps aux,50.508247,0.37,0,ok,0,,
medium,mosh,command_loop,2,1,3,ps aux,116.904143,0.09,0,ok,1,,
medium,mosh,command_loop,2,2,3,ps aux,100.666144,24.98,0,ok,1,,
medium,mosh,command_loop,2,3,3,ps aux,54.580144,0.00,0,ok,1,,
medium,mosh,command_loop,2,4,3,ps aux,51.973310,7.93,0,ok,0,,
medium,mosh,command_loop,2,5,3,ps aux,50.692467,0.00,0,ok,0,,
