scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,36,1,find /etc /var/log -type f 2>/dev/null,617.068215,28772,45.534117,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,37,1,find /etc /var/log -type f 2>/dev/null,510.646883,28772,55.023652,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,38,1,find /etc /var/log -type f 2>/dev/null,400.238885,28772,70.202215,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,39,1,find /etc /var/log -type f 2>/dev/null,566.363274,28772,49.610661,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,40,1,find /etc /var/log -type f 2>/dev/null,397.618293,28772,70.664898,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,41,1,find /etc /var/log -type f 2>/dev/null,417.760920,28772,67.257742,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,42,1,find /etc /var/log -type f 2>/dev/null,317.460077,28772,88.507684,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,43,1,find /etc /var/log -type f 2>/dev/null,306.436083,28772,91.691735,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,44,1,find /etc /var/log -type f 2>/dev/null,232.197654,28772,121.007494,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,45,1,find /etc /var/log -type f 2>/dev/null,221.976556,28772,126.579386,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,46,1,find /etc /var/log -type f 2>/dev/null,309.032528,28772,90.921355,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,47,1,find /etc /var/log -type f 2>/dev/null,302.758874,28772,92.805393,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,48,1,find /etc /var/log -type f 2>/dev/null,222.245403,28772,126.426265,100.00,ok,,
