scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,status,warmup,error_type,error_message
default,mosh,command_loop,2,25,2,df -h,50.472368,0.56,ok,0,,
default,mosh,command_loop,2,26,2,df -h,50.757019,100.00,ok,0,,
default,mosh,command_loop,2,27,2,df -h,50.362856,1.98,ok,0,,
default,mosh,command_loop,2,28,2,df -h,52.864134,2.68,ok,0,,
default,mosh,command_loop,2,29,2,df -h,50.458651,100.00,ok,0,,
default,mosh,command_loop,2,30,2,df -h,52.098180,100.00,ok,0,,
default,mosh,command_loop,2,31,2,df -h,53.211401,0.56,ok,0,,
default,mosh,command_loop,2,32,2,df -h,50.343032,100.00,ok,0,,
default,mosh,command_loop,2,33,2,df -h,50.554396,1.98,ok,0,,
default,mosh,command_loop,2,34,2,df -h,51.958075,2.68,ok,0,,
default,mosh,command_loop,2,35,2,df -h,50.293210,100.00,ok,0,,
default,mosh,command_loop,2,36,2,df -h,52.359810,100.00,ok,0,,
default,mosh,command_loop,2,37,2,df -h,53.495919,0.56,ok,0,,
default,mosh,command_loop,2,38,2,df -h,50.240055,100.00,ok,0,,
default,mosh,command_loop,2,39,2,df -h,53.119097,2.68,ok,0,,
default,mosh,command_loop,2,40,2,df -h,50.576099,100.00,ok,0,,
default,mosh,command_loop,2,41,2,df -h,52.446588,100.00,ok,0,,
default,mosh,command_loop,2,42,2,df -h,53.193417,0.56,ok,0,,
default,mosh,command_loop,2,43,2,df -h,50.326476,100.00,ok,0,,
default,mosh,command_loop,2,44,2,df -h,54.018974,2.68,ok,0,,
default,mosh,command_loop,2,45,2,df -h,50.427277,100.00,ok,0,,
default,mosh,command_loop,2,46,2,df -h,57.688653,100.00,ok,0,,
default,mosh,command_loop,2,47,2,df -h,50.535530,0.56,ok,0,,
default,mosh,command_loop,2,48,2,df -h,50.129943,100.00,ok,0,,
default,mosh,command_loop,2,49,2,df -h,50.544084,76.55,ok,0,,
default,mosh,command_loop,2,50,2,df -h,50.526536,0.28,ok,0,,
default,mosh,command_loop,3,1,2,df -h,50.732009,2.68,ok,1,,
