[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=2817.4 ms
[ ssh/interactive_shell ] trial  1 measure   1/100: 143.77 ms
[ ssh/interactive_shell ] trial  1 measure   2/100: 138.40 ms
[ ssh/interactive_shell ] trial  1 measure   3/100: 114.22 ms
[ ssh/interactive_shell ] trial  1 measure   4/100: 140.67 ms
[ ssh/interactive_shell ] trial  1 measure   5/100: 141.60 ms
[ ssh/interactive_shell ] trial  1 measure   6/100: 133.68 ms
[ ssh/interactive_shell ] trial  1 measure   7/100: 124.75 ms
[ ssh/interactive_shell ] trial  1 measure   8/100: 113.55 ms
[ ssh/interactive_shell ] trial  1 measure   9/100: 143.31 ms
[ ssh/interactive_shell ] trial  1 measure  10/100: 131.89 ms
[ ssh/interactive_shell ] trial  1 measure  11/100: 111.65 ms
[ ssh/interactive_shell ] trial  1 measure  12/100: 134.26 ms
[ ssh/interactive_shell ] trial  1 measure  13/100: 120.98 ms
[ ssh/interactive_shell ] trial  1 measure  14/100: 129.76 ms
[ ssh/interactive_shell ] trial  1 measure  15/100: 109.82 ms
[ ssh/interactive_shell ] trial  1 measure  16/100: 145.20 ms
[ ssh/interactive_shell ] trial  1 measure  17/100: 114.69 ms
[ ssh/interactive_shell ] trial  1 measure  18/100: 135.18 ms
[ ssh/interactive_shell ] trial  1 measure  19/100: 152.56 ms
[ ssh/interactive_shell ] trial  1 measure  20/100: 140.16 ms
[ ssh/interactive_shell ] trial  1 measure  21/100: 251.06 ms
[ ssh/interactive_shell ] trial  1 measure  22/100: 112.90 ms
[ ssh/interactive_shell ] trial  1 measure  23/100: 125.61 ms
[ ssh/interactive_shell ] trial  1 measure  24/100: 128.06 ms
[ ssh/interactive_shell ] trial  1 measure  25/100: 138.98 ms
[ ssh/interactive_shell ] trial  1 measure  26/100: 110.87 ms
[ ssh/interactive_shell ] trial  1 measure  27/100: 127.05 ms
[ ssh/interactive_shell ] trial  1 measure  28/100: 154.53 ms
[ ssh/interactive_shell ] trial  1 measure  29/100: 133.14 ms
[ ssh/interactive_shell ] trial  1 measure  30/100: 128.05 ms
[ ssh/interactive_shell ] trial  1 measure  31/100: 125.46 ms
[ ssh/interactive_shell ] trial  1 measure  32/100: 103.71 ms
[ ssh/interactive_shell ] trial  1 measure  33/100: 238.45 ms
[ ssh/interactive_shell ] trial  1 measure  34/100: 113.38 ms
[ ssh/interactive_shell ] trial  1 measure  35/100: 132.55 ms
[ ssh/interactive_shell ] trial  1 measure  36/100: 117.90 ms
[ ssh/interactive_shell ] trial  1 measure  37/100: 162.01 ms
[ ssh/interactive_shell ] trial  1 measure  38/100: 137.97 ms
[ ssh/interactive_shell ] trial  1 measure  39/100: 127.97 ms
[ ssh/interactive_shell ] trial  1 measure  40/100: 151.33 ms
[ ssh/interactive_shell ] trial  1 measure  41/100: 133.18 ms
[ ssh/interactive_shell ] trial  1 measure  42/100: 134.04 ms
[ ssh/interactive_shell ] trial  1 measure  43/100: 159.62 ms
[ ssh/interactive_shell ] trial  1 measure  44/100: 127.66 ms
[ ssh/interactive_shell ] trial  1 measure  45/100: 110.96 ms
[ ssh/interactive_shell ] trial  1 measure  46/100: 140.57 ms
[ ssh/interactive_shell ] trial  1 measure  47/100: 110.38 ms
[ ssh/interactive_shell ] trial  1 measure  48/100: 167.96 ms
[ ssh/interactive_shell ] trial  1 measure  49/100: 124.13 ms
[ ssh/interactive_shell ] trial  1 measure  50/100: 109.88 ms
[ ssh/interactive_shell ] trial  1 measure  51/100: 96.38 ms
[ ssh/interactive_shell ] trial  1 measure  52/100: 112.88 ms
[ ssh/interactive_shell ] trial  1 measure  53/100: 129.41 ms
[ ssh/interactive_shell ] trial  1 measure  54/100: 176.02 ms
[ ssh/interactive_shell ] trial  1 measure  55/100: 263.83 ms
[ ssh/interactive_shell ] trial  1 measure  56/100: 147.50 ms
[ ssh/interactive_shell ] trial  1 measure  57/100: 125.60 ms
[ ssh/interactive_shell ] trial  1 measure  58/100: 105.81 ms
[ ssh/interactive_shell ] trial  1 measure  59/100: 160.23 ms
[ ssh/interactive_shell ] trial  1 measure  60/100: 115.37 ms
[ ssh/interactive_shell ] trial  1 measure  61/100: 136.68 ms
