[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=1445.7 ms
[ ssh/interactive_shell ] trial  1 measure   1/100: 28.80 ms
[ ssh/interactive_shell ] trial  1 measure   2/100: 26.99 ms
[ ssh/interactive_shell ] trial  1 measure   3/100: 40.28 ms
[ ssh/interactive_shell ] trial  1 measure   4/100: 38.56 ms
[ ssh/interactive_shell ] trial  1 measure   5/100: 28.15 ms
[ ssh/interactive_shell ] trial  1 measure   6/100: 24.76 ms
[ ssh/interactive_shell ] trial  1 measure   7/100: 29.72 ms
[ ssh/interactive_shell ] trial  1 measure   8/100: 31.88 ms
[ ssh/interactive_shell ] trial  1 measure   9/100: 28.06 ms
[ ssh/interactive_shell ] trial  1 measure  10/100: 38.31 ms
[ ssh/interactive_shell ] trial  1 measure  11/100: 45.86 ms
[ ssh/interactive_shell ] trial  1 measure  12/100: 25.33 ms
[ ssh/interactive_shell ] trial  1 measure  13/100: 81.51 ms
[ ssh/interactive_shell ] trial  1 measure  14/100: 56.79 ms
[ ssh/interactive_shell ] trial  1 measure  15/100: 81.29 ms
[ ssh/interactive_shell ] trial  1 measure  16/100: 37.75 ms
[ ssh/interactive_shell ] trial  1 measure  17/100: 138.04 ms
[ ssh/interactive_shell ] trial  1 measure  18/100: 34.16 ms
[ ssh/interactive_shell ] trial  1 measure  19/100: 40.59 ms
[ ssh/interactive_shell ] trial  1 measure  20/100: 113.48 ms
[ ssh/interactive_shell ] trial  1 measure  21/100: 25.39 ms
[ ssh/interactive_shell ] trial  1 measure  22/100: 40.21 ms
[ ssh/interactive_shell ] trial  1 measure  23/100: 50.93 ms
[ ssh/interactive_shell ] trial  1 measure  24/100: 54.40 ms
[ ssh/interactive_shell ] trial  1 measure  25/100: 50.31 ms
[ ssh/interactive_shell ] trial  1 measure  26/100: 94.03 ms
[ ssh/interactive_shell ] trial  1 measure  27/100: 46.40 ms
[ ssh/interactive_shell ] trial  1 measure  28/100: 113.46 ms
[ ssh/interactive_shell ] trial  1 measure  29/100: 45.68 ms
[ ssh/interactive_shell ] trial  1 measure  30/100: 36.71 ms
[ ssh/interactive_shell ] trial  1 measure  31/100: 51.02 ms
[ ssh/interactive_shell ] trial  1 measure  32/100: 42.08 ms
[ ssh/interactive_shell ] trial  1 measure  33/100: 68.25 ms
[ ssh/interactive_shell ] trial  1 measure  34/100: 26.98 ms
[ ssh/interactive_shell ] trial  1 measure  35/100: 76.62 ms
[ ssh/interactive_shell ] trial  1 measure  36/100: 33.77 ms
[ ssh/interactive_shell ] trial  1 measure  37/100: 38.60 ms
[ ssh/interactive_shell ] trial  1 measure  38/100: 43.33 ms
[ ssh/interactive_shell ] trial  1 measure  39/100: 140.12 ms
[ ssh/interactive_shell ] trial  1 measure  40/100: 32.01 ms
[ ssh/interactive_shell ] trial  1 measure  41/100: 77.64 ms
[ ssh/interactive_shell ] trial  1 measure  42/100: 55.61 ms
[ ssh/interactive_shell ] trial  1 measure  43/100: 73.43 ms
[ ssh/interactive_shell ] trial  1 measure  44/100: 45.81 ms
[ ssh/interactive_shell ] trial  1 measure  45/100: 68.20 ms
[ ssh/interactive_shell ] trial  1 measure  46/100: 66.27 ms
[ ssh/interactive_shell ] trial  1 measure  47/100: 34.84 ms
[ ssh/interactive_shell ] trial  1 measure  48/100: 60.77 ms
[ ssh/interactive_shell ] trial  1 measure  49/100: 43.54 ms
[ ssh/interactive_shell ] trial  1 measure  50/100: 47.02 ms
[ ssh/interactive_shell ] trial  1 measure  51/100: 72.03 ms
[ ssh/interactive_shell ] trial  1 measure  52/100: 130.20 ms
[ ssh/interactive_shell ] trial  1 measure  53/100: 65.85 ms
[ ssh/interactive_shell ] trial  1 measure  54/100: 42.44 ms
[ ssh/interactive_shell ] trial  1 measure  55/100: 90.89 ms
