[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=1587.5 ms
[ ssh/interactive_shell ] trial  1 measure   1/100: 36.22 ms
[ ssh/interactive_shell ] trial  1 measure   2/100: 101.77 ms
[ ssh/interactive_shell ] trial  1 measure   3/100: 72.96 ms
[ ssh/interactive_shell ] trial  1 measure   4/100: 39.04 ms
[ ssh/interactive_shell ] trial  1 measure   5/100: 0.89 ms
[ ssh/interactive_shell ] trial  1 measure   6/100: 40.69 ms
[ ssh/interactive_shell ] trial  1 measure   7/100: 4.63 ms
[ ssh/interactive_shell ] trial  1 measure   8/100: 51.74 ms
[ ssh/interactive_shell ] trial  1 measure   9/100: 33.73 ms
[ ssh/interactive_shell ] trial  1 measure  10/100: 38.55 ms
[ ssh/interactive_shell ] trial  1 measure  11/100: 4.47 ms
[ ssh/interactive_shell ] trial  1 measure  12/100: 11.77 ms
[ ssh/interactive_shell ] trial  1 measure  13/100: 1.02 ms
[ ssh/interactive_shell ] trial  1 measure  14/100: 30.59 ms
[ ssh/interactive_shell ] trial  1 measure  15/100: 46.46 ms
[ ssh/interactive_shell ] trial  1 measure  16/100: 33.21 ms
[ ssh/interactive_shell ] trial  1 measure  17/100: 24.02 ms
[ ssh/interactive_shell ] trial  1 measure  18/100: 22.92 ms
[ ssh/interactive_shell ] trial  1 measure  19/100: 6.13 ms
[ ssh/interactive_shell ] trial  1 measure  20/100: 34.71 ms
[ ssh/interactive_shell ] trial  1 measure  21/100: 29.55 ms
[ ssh/interactive_shell ] trial  1 measure  22/100: 7.85 ms
[ ssh/interactive_shell ] trial  1 measure  23/100: 25.24 ms
[ ssh/interactive_shell ] trial  1 measure  24/100: 5.70 ms
[ ssh/interactive_shell ] trial  1 measure  25/100: 19.56 ms
[ ssh/interactive_shell ] trial  1 measure  26/100: 46.17 ms
[ ssh/interactive_shell ] trial  1 measure  27/100: 19.45 ms
[ ssh/interactive_shell ] trial  1 measure  28/100: 28.72 ms
[ ssh/interactive_shell ] trial  1 measure  29/100: 34.30 ms
[ ssh/interactive_shell ] trial  1 measure  30/100: 95.04 ms
[ ssh/interactive_shell ] trial  1 measure  31/100: 64.62 ms
[ ssh/interactive_shell ] trial  1 measure  32/100: 1.13 ms
[ ssh/interactive_shell ] trial  1 measure  33/100: 32.37 ms
[ ssh/interactive_shell ] trial  1 measure  34/100: 34.13 ms
[ ssh/interactive_shell ] trial  1 measure  35/100: 26.95 ms
[ ssh/interactive_shell ] trial  1 measure  36/100: 34.77 ms
[ ssh/interactive_shell ] trial  1 measure  37/100: 8.92 ms
[ ssh/interactive_shell ] trial  1 measure  38/100: 7.26 ms
[ ssh/interactive_shell ] trial  1 measure  39/100: 33.65 ms
[ ssh/interactive_shell ] trial  1 measure  40/100: 30.22 ms
[ ssh/interactive_shell ] trial  1 measure  41/100: 32.03 ms
[ ssh/interactive_shell ] trial  1 measure  42/100: 17.81 ms
[ ssh/interactive_shell ] trial  1 measure  43/100: 98.15 ms
[ ssh/interactive_shell ] trial  1 measure  44/100: 56.17 ms
[ ssh/interactive_shell ] trial  1 measure  45/100: 1.88 ms
[ ssh/interactive_shell ] trial  1 measure  46/100: 43.34 ms
[ ssh/interactive_shell ] trial  1 measure  47/100: 19.89 ms
[ ssh/interactive_shell ] trial  1 measure  48/100: 20.88 ms
[ ssh/interactive_shell ] trial  1 measure  49/100: 45.24 ms
[ ssh/interactive_shell ] trial  1 measure  50/100: 30.85 ms
[ ssh/interactive_shell ] trial  1 measure  51/100: 44.46 ms
[ ssh/interactive_shell ] trial  1 measure  52/100: 26.09 ms
[ ssh/interactive_shell ] trial  1 measure  53/100: 9.39 ms
[ ssh/interactive_shell ] trial  1 measure  54/100: 57.08 ms
[ ssh/interactive_shell ] trial  1 measure  55/100: 45.95 ms
[ ssh/interactive_shell ] trial  1 measure  56/100: 14.72 ms
[ ssh/interactive_shell ] trial  1 measure  57/100: 43.11 ms
[ ssh/interactive_shell ] trial  1 measure  58/100: 34.94 ms
[ ssh/interactive_shell ] trial  1 measure  59/100: 50.81 ms
[ ssh/interactive_shell ] trial  1 measure  60/100: 26.62 ms
[ ssh/interactive_shell ] trial  1 measure  61/100: 30.73 ms
[ ssh/interactive_shell ] trial  1 measure  62/100: 43.87 ms
[ ssh/interactive_shell ] trial  1 measure  63/100: 40.20 ms
[ ssh/interactive_shell ] trial  1 measure  64/100: 2.77 ms
[ ssh/interactive_shell ] trial  1 measure  65/100: 78.70 ms
[ ssh/interactive_shell ] trial  1 measure  66/100: 58.88 ms
[ ssh/interactive_shell ] trial  1 measure  67/100: 38.24 ms
[ ssh/interactive_shell ] trial  1 measure  68/100: 51.88 ms
[ ssh/interactive_shell ] trial  1 measure  69/100: 15.76 ms
[ ssh/interactive_shell ] trial  1 measure  70/100: 41.25 ms
[ ssh/interactive_shell ] trial  1 measure  71/100: 15.08 ms
[ ssh/interactive_shell ] trial  1 measure  72/100: 30.06 ms
[ ssh/interactive_shell ] trial  1 measure  73/100: 59.77 ms
[ ssh/interactive_shell ] trial  1 measure  74/100: 9.42 ms
[ ssh/interactive_shell ] trial  1 measure  75/100: 7.51 ms
[ ssh/interactive_shell ] trial  1 measure  76/100: 0.62 ms
[ ssh/interactive_shell ] trial  1 measure  77/100: 38.53 ms
[ ssh/interactive_shell ] trial  1 measure  78/100: 1.97 ms
[ ssh/interactive_shell ] trial  1 measure  79/100: 30.38 ms
[ ssh/interactive_shell ] trial  1 measure  80/100: 2.21 ms
[ ssh/interactive_shell ] trial  1 measure  81/100: 32.74 ms
[ ssh/interactive_shell ] trial  1 measure  82/100: 16.08 ms
[ ssh/interactive_shell ] trial  1 measure  83/100: 35.44 ms
[ ssh/interactive_shell ] trial  1 measure  84/100: 49.93 ms
[ ssh/interactive_shell ] trial  1 measure  85/100: 40.68 ms
[ ssh/interactive_shell ] trial  1 measure  86/100: 66.20 ms
[ ssh/interactive_shell ] trial  1 measure  87/100: 20.95 ms
[ ssh/interactive_shell ] trial  1 measure  88/100: 32.00 ms
[ ssh/interactive_shell ] trial  1 measure  89/100: 45.16 ms
[ ssh/interactive_shell ] trial  1 measure  90/100: 42.49 ms
[ ssh/interactive_shell ] trial  1 measure  91/100: 12.74 ms
[ ssh/interactive_shell ] trial  1 measure  92/100: 1.01 ms
[ ssh/interactive_shell ] trial  1 measure  93/100: 29.31 ms
[ ssh/interactive_shell ] trial  1 measure  94/100: 48.15 ms
[ ssh/interactive_shell ] trial  1 measure  95/100: 7.78 ms
[ ssh/interactive_shell ] trial  1 measure  96/100: 50.72 ms
[ ssh/interactive_shell ] trial  1 measure  97/100: 14.65 ms
[ ssh/interactive_shell ] trial  1 measure  98/100: 71.78 ms
[ ssh/interactive_shell ] trial  1 measure  99/100: 25.00 ms
[ ssh/interactive_shell ] trial  1 measure 100/100: 59.06 ms
[ ssh/interactive_shell ] trial  2/3 opening session...
[ ssh/interactive_shell ] trial  2/3 session_setup=1992.9 ms
[ ssh/interactive_shell ] trial  2 measure   1/100: 0.33 ms
[ ssh/interactive_shell ] trial  2 measure   2/100: 4.07 ms
[ ssh/interactive_shell ] trial  2 measure   3/100: 1.70 ms
[ ssh/interactive_shell ] trial  2 measure   4/100: 42.90 ms
[ ssh/interactive_shell ] trial  2 measure   5/100: 30.30 ms
[ ssh/interactive_shell ] trial  2 measure   6/100: 10.52 ms
[ ssh/interactive_shell ] trial  2 measure   7/100: 5.95 ms
[ ssh/interactive_shell ] trial  2 measure   8/100: 35.55 ms
[ ssh/interactive_shell ] trial  2 measure   9/100: 62.32 ms
[ ssh/interactive_shell ] trial  2 measure  10/100: 37.85 ms
[ ssh/interactive_shell ] trial  2 measure  11/100: 22.21 ms
[ ssh/interactive_shell ] trial  2 measure  12/100: 1.12 ms
[ ssh/interactive_shell ] trial  2 measure  13/100: 67.48 ms
[ ssh/interactive_shell ] trial  2 measure  14/100: 80.37 ms
[ ssh/interactive_shell ] trial  2 measure  15/100: 22.28 ms
[ ssh/interactive_shell ] trial  2 measure  16/100: 24.59 ms
[ ssh/interactive_shell ] trial  2 measure  17/100: 48.46 ms
[ ssh/interactive_shell ] trial  2 measure  18/100: 45.72 ms
[ ssh/interactive_shell ] trial  2 measure  19/100: 30.51 ms
[ ssh/interactive_shell ] trial  2 measure  20/100: 71.83 ms
[ ssh/interactive_shell ] trial  2 measure  21/100: 27.68 ms
[ ssh/interactive_shell ] trial  2 measure  22/100: 0.57 ms
[ ssh/interactive_shell ] trial  2 measure  23/100: 24.83 ms
[ ssh/interactive_shell ] trial  2 measure  24/100: 25.25 ms
[ ssh/interactive_shell ] trial  2 measure  25/100: 0.98 ms
[ ssh/interactive_shell ] trial  2 measure  26/100: 52.03 ms
[ ssh/interactive_shell ] trial  2 measure  27/100: 33.68 ms
[ ssh/interactive_shell ] trial  2 measure  28/100: 91.79 ms
[ ssh/interactive_shell ] trial  2 measure  29/100: 9.10 ms
[ ssh/interactive_shell ] trial  2 measure  30/100: 40.11 ms
[ ssh/interactive_shell ] trial  2 measure  31/100: 28.46 ms
[ ssh/interactive_shell ] trial  2 measure  32/100: 32.60 ms
[ ssh/interactive_shell ] trial  2 measure  33/100: 32.87 ms
[ ssh/interactive_shell ] trial  2 measure  34/100: 43.70 ms
[ ssh/interactive_shell ] trial  2 measure  35/100: 2.60 ms
[ ssh/interactive_shell ] trial  2 measure  36/100: 21.02 ms
[ ssh/interactive_shell ] trial  2 measure  37/100: 2.72 ms
[ ssh/interactive_shell ] trial  2 measure  38/100: 37.97 ms
[ ssh/interactive_shell ] trial  2 measure  39/100: 14.95 ms
[ ssh/interactive_shell ] trial  2 measure  40/100: 22.32 ms
[ ssh/interactive_shell ] trial  2 measure  41/100: 37.61 ms
[ ssh/interactive_shell ] trial  2 measure  42/100: 27.60 ms
[ ssh/interactive_shell ] trial  2 measure  43/100: 30.42 ms
[ ssh/interactive_shell ] trial  2 measure  44/100: 1.37 ms
[ ssh/interactive_shell ] trial  2 measure  45/100: 39.65 ms
[ ssh/interactive_shell ] trial  2 measure  46/100: 34.80 ms
[ ssh/interactive_shell ] trial  2 measure  47/100: 5.22 ms
[ ssh/interactive_shell ] trial  2 measure  48/100: 108.51 ms
[ ssh/interactive_shell ] trial  2 measure  49/100: 5.94 ms
[ ssh/interactive_shell ] trial  2 measure  50/100: 57.98 ms
[ ssh/interactive_shell ] trial  2 measure  51/100: 41.63 ms
[ ssh/interactive_shell ] trial  2 measure  52/100: 3.63 ms
[ ssh/interactive_shell ] trial  2 measure  53/100: 12.49 ms
[ ssh/interactive_shell ] trial  2 measure  54/100: 55.51 ms
[ ssh/interactive_shell ] trial  2 measure  55/100: 29.39 ms
[ ssh/interactive_shell ] trial  2 measure  56/100: 73.37 ms
[ ssh/interactive_shell ] trial  2 measure  57/100: 29.81 ms
[ ssh/interactive_shell ] trial  2 measure  58/100: 57.65 ms
[ ssh/interactive_shell ] trial  2 measure  59/100: 28.42 ms
[ ssh/interactive_shell ] trial  2 measure  60/100: 29.37 ms
[ ssh/interactive_shell ] trial  2 measure  61/100: 35.98 ms
[ ssh/interactive_shell ] trial  2 measure  62/100: 20.87 ms
[ ssh/interactive_shell ] trial  2 measure  63/100: 34.10 ms
[ ssh/interactive_shell ] trial  2 measure  64/100: 9.80 ms
[ ssh/interactive_shell ] trial  2 measure  65/100: 68.81 ms
[ ssh/interactive_shell ] trial  2 measure  66/100: 75.98 ms
[ ssh/interactive_shell ] trial  2 measure  67/100: 11.84 ms
[ ssh/interactive_shell ] trial  2 measure  68/100: 16.64 ms
[ ssh/interactive_shell ] trial  2 measure  69/100: 47.23 ms
[ ssh/interactive_shell ] trial  2 measure  70/100: 16.39 ms
[ ssh/interactive_shell ] trial  2 measure  71/100: 22.42 ms
[ ssh/interactive_shell ] trial  2 measure  72/100: 25.95 ms
[ ssh/interactive_shell ] trial  2 measure  73/100: 33.16 ms
[ ssh/interactive_shell ] trial  2 measure  74/100: 52.87 ms
[ ssh/interactive_shell ] trial  2 measure  75/100: 35.62 ms
[ ssh/interactive_shell ] trial  2 measure  76/100: 2.97 ms
[ ssh/interactive_shell ] trial  2 measure  77/100: 35.72 ms
[ ssh/interactive_shell ] trial  2 measure  78/100: 35.23 ms
[ ssh/interactive_shell ] trial  2 measure  79/100: 51.62 ms
[ ssh/interactive_shell ] trial  2 measure  80/100: 48.42 ms
[ ssh/interactive_shell ] trial  2 measure  81/100: 11.77 ms
[ ssh/interactive_shell ] trial  2 measure  82/100: 17.82 ms
[ ssh/interactive_shell ] trial  2 measure  83/100: 27.59 ms
[ ssh/interactive_shell ] trial  2 measure  84/100: 21.52 ms
[ ssh/interactive_shell ] trial  2 measure  85/100: 64.25 ms
[ ssh/interactive_shell ] trial  2 measure  86/100: 0.87 ms
[ ssh/interactive_shell ] trial  2 measure  87/100: 26.16 ms
[ ssh/interactive_shell ] trial  2 measure  88/100: 28.83 ms
[ ssh/interactive_shell ] trial  2 measure  89/100: 35.48 ms
[ ssh/interactive_shell ] trial  2 measure  90/100: 0.96 ms
[ ssh/interactive_shell ] trial  2 measure  91/100: 26.97 ms
[ ssh/interactive_shell ] trial  2 measure  92/100: 56.29 ms
