[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=2772.8 ms
[ ssh/interactive_shell ] trial  1 measure   1/100: 8.32 ms
[ ssh/interactive_shell ] trial  1 measure   2/100: 41.27 ms
[ ssh/interactive_shell ] trial  1 measure   3/100: 61.08 ms
[ ssh/interactive_shell ] trial  1 measure   4/100: 40.01 ms
[ ssh/interactive_shell ] trial  1 measure   5/100: 80.74 ms
[ ssh/interactive_shell ] trial  1 measure   6/100: 104.78 ms
[ ssh/interactive_shell ] trial  1 measure   7/100: 47.47 ms
[ ssh/interactive_shell ] trial  1 measure   8/100: 3.23 ms
[ ssh/interactive_shell ] trial  1 measure   9/100: 38.10 ms
[ ssh/interactive_shell ] trial  1 measure  10/100: 37.61 ms
[ ssh/interactive_shell ] trial  1 measure  11/100: 29.15 ms
[ ssh/interactive_shell ] trial  1 measure  12/100: 47.28 ms
[ ssh/interactive_shell ] trial  1 measure  13/100: 30.79 ms
[ ssh/interactive_shell ] trial  1 measure  14/100: 55.23 ms
[ ssh/interactive_shell ] trial  1 measure  15/100: 112.45 ms
[ ssh/interactive_shell ] trial  1 measure  16/100: 1.03 ms
[ ssh/interactive_shell ] trial  1 measure  17/100: 82.22 ms
[ ssh/interactive_shell ] trial  1 measure  18/100: 45.95 ms
[ ssh/interactive_shell ] trial  1 measure  19/100: 67.12 ms
[ ssh/interactive_shell ] trial  1 measure  20/100: 13.62 ms
[ ssh/interactive_shell ] trial  1 measure  21/100: 11.67 ms
[ ssh/interactive_shell ] trial  1 measure  22/100: 34.62 ms
[ ssh/interactive_shell ] trial  1 measure  23/100: 26.52 ms
[ ssh/interactive_shell ] trial  1 measure  24/100: 61.22 ms
[ ssh/interactive_shell ] trial  1 measure  25/100: 47.70 ms
[ ssh/interactive_shell ] trial  1 measure  26/100: 180.03 ms
[ ssh/interactive_shell ] trial  1 measure  27/100: 7.97 ms
[ ssh/interactive_shell ] trial  1 measure  28/100: 15.93 ms
[ ssh/interactive_shell ] trial  1 measure  29/100: 37.60 ms
[ ssh/interactive_shell ] trial  1 measure  30/100: 38.50 ms
[ ssh/interactive_shell ] trial  1 measure  31/100: 25.98 ms
[ ssh/interactive_shell ] trial  1 measure  32/100: 41.96 ms
[ ssh/interactive_shell ] trial  1 measure  33/100: 53.25 ms
[ ssh/interactive_shell ] trial  1 measure  34/100: 4.47 ms
[ ssh/interactive_shell ] trial  1 measure  35/100: 77.86 ms
[ ssh/interactive_shell ] trial  1 measure  36/100: 47.77 ms
[ ssh/interactive_shell ] trial  1 measure  37/100: 76.85 ms
[ ssh/interactive_shell ] trial  1 measure  38/100: 23.66 ms
[ ssh/interactive_shell ] trial  1 measure  39/100: 29.98 ms
[ ssh/interactive_shell ] trial  1 measure  40/100: 63.66 ms
[ ssh/interactive_shell ] trial  1 measure  41/100: 19.29 ms
[ ssh/interactive_shell ] trial  1 measure  42/100: 104.19 ms
[ ssh/interactive_shell ] trial  1 measure  43/100: 12.14 ms
[ ssh/interactive_shell ] trial  1 measure  44/100: 19.65 ms
[ ssh/interactive_shell ] trial  1 measure  45/100: 64.86 ms
[ ssh/interactive_shell ] trial  1 measure  46/100: 48.83 ms
[ ssh/interactive_shell ] trial  1 measure  47/100: 15.56 ms
[ ssh/interactive_shell ] trial  1 measure  48/100: 165.53 ms
[ ssh/interactive_shell ] trial  1 measure  49/100: 30.32 ms
[ ssh/interactive_shell ] trial  1 measure  50/100: 112.05 ms
[ ssh/interactive_shell ] trial  1 measure  51/100: 50.66 ms
[ ssh/interactive_shell ] trial  1 measure  52/100: 19.54 ms
[ ssh/interactive_shell ] trial  1 measure  53/100: 229.26 ms
[ ssh/interactive_shell ] trial  1 measure  54/100: 30.81 ms
[ ssh/interactive_shell ] trial  1 measure  55/100: 67.75 ms
[ ssh/interactive_shell ] trial  1 measure  56/100: 71.65 ms
[ ssh/interactive_shell ] trial  1 measure  57/100: 93.86 ms
[ ssh/interactive_shell ] trial  1 measure  58/100: 13.05 ms
[ ssh/interactive_shell ] trial  1 measure  59/100: 22.53 ms
[ ssh/interactive_shell ] trial  1 measure  60/100: 64.28 ms
[ ssh/interactive_shell ] trial  1 measure  61/100: 165.64 ms
[ ssh/interactive_shell ] trial  1 measure  62/100: 14.22 ms
[ ssh/interactive_shell ] trial  1 measure  63/100: 13.98 ms
[ ssh/interactive_shell ] trial  1 measure  64/100: 87.43 ms
[ ssh/interactive_shell ] trial  1 measure  65/100: 9.26 ms
[ ssh/interactive_shell ] trial  1 measure  66/100: 48.78 ms
[ ssh/interactive_shell ] trial  1 measure  67/100: 10.12 ms
[ ssh/interactive_shell ] trial  1 measure  68/100: 95.94 ms
[ ssh/interactive_shell ] trial  1 measure  69/100: 84.22 ms
[ ssh/interactive_shell ] trial  1 measure  70/100: 67.15 ms
[ ssh/interactive_shell ] trial  1 measure  71/100: 24.99 ms
[ ssh/interactive_shell ] trial  1 measure  72/100: 41.67 ms
[ ssh/interactive_shell ] trial  1 measure  73/100: 20.85 ms
[ ssh/interactive_shell ] trial  1 measure  74/100: 4.59 ms
[ ssh/interactive_shell ] trial  1 measure  75/100: 9.13 ms
[ ssh/interactive_shell ] trial  1 measure  76/100: 6.68 ms
[ ssh/interactive_shell ] trial  1 measure  77/100: 62.57 ms
[ ssh/interactive_shell ] trial  1 measure  78/100: 68.68 ms
[ ssh/interactive_shell ] trial  1 measure  79/100: 26.84 ms
[ ssh/interactive_shell ] trial  1 measure  80/100: 48.42 ms
[ ssh/interactive_shell ] trial  1 measure  81/100: 3.42 ms
[ ssh/interactive_shell ] trial  1 measure  82/100: 79.97 ms
[ ssh/interactive_shell ] trial  1 measure  83/100: 3.48 ms
[ ssh/interactive_shell ] trial  1 measure  84/100: 47.00 ms
[ ssh/interactive_shell ] trial  1 measure  85/100: 194.24 ms
[ ssh/interactive_shell ] trial  1 measure  86/100: 69.35 ms
[ ssh/interactive_shell ] trial  1 measure  87/100: 23.95 ms
[ ssh/interactive_shell ] trial  1 measure  88/100: 13.29 ms
[ ssh/interactive_shell ] trial  1 measure  89/100: 80.37 ms
[ ssh/interactive_shell ] trial  1 measure  90/100: 66.88 ms
[ ssh/interactive_shell ] trial  1 measure  91/100: 14.76 ms
[ ssh/interactive_shell ] trial  1 measure  92/100: 35.27 ms
[ ssh/interactive_shell ] trial  1 measure  93/100: 66.75 ms
[ ssh/interactive_shell ] trial  1 measure  94/100: 81.35 ms
[ ssh/interactive_shell ] trial  1 measure  95/100: 58.02 ms
[ ssh/interactive_shell ] trial  1 measure  96/100: 35.28 ms
[ ssh/interactive_shell ] trial  1 measure  97/100: 79.08 ms
[ ssh/interactive_shell ] trial  1 measure  98/100: 41.73 ms
[ ssh/interactive_shell ] trial  1 measure  99/100: 64.05 ms
[ ssh/interactive_shell ] trial  1 measure 100/100: 22.09 ms
[ ssh/interactive_shell ] trial  2/3 opening session...
[ ssh/interactive_shell ] trial  2/3 session_setup=2789.9 ms
[ ssh/interactive_shell ] trial  2 measure   1/100: 132.65 ms
[ ssh/interactive_shell ] trial  2 measure   2/100: 51.96 ms
[ ssh/interactive_shell ] trial  2 measure   3/100: 31.70 ms
[ ssh/interactive_shell ] trial  2 measure   4/100: 5.92 ms
[ ssh/interactive_shell ] trial  2 measure   5/100: 29.84 ms
[ ssh/interactive_shell ] trial  2 measure   6/100: 9.85 ms
[ ssh/interactive_shell ] trial  2 measure   7/100: 103.23 ms
[ ssh/interactive_shell ] trial  2 measure   8/100: 110.91 ms
[ ssh/interactive_shell ] trial  2 measure   9/100: 45.33 ms
[ ssh/interactive_shell ] trial  2 measure  10/100: 112.86 ms
[ ssh/interactive_shell ] trial  2 measure  11/100: 15.50 ms
[ ssh/interactive_shell ] trial  2 measure  12/100: 38.15 ms
[ ssh/interactive_shell ] trial  2 measure  13/100: 21.09 ms
[ ssh/interactive_shell ] trial  2 measure  14/100: 28.50 ms
[ ssh/interactive_shell ] trial  2 measure  15/100: 35.16 ms
[ ssh/interactive_shell ] trial  2 measure  16/100: 4.45 ms
[ ssh/interactive_shell ] trial  2 measure  17/100: 61.40 ms
[ ssh/interactive_shell ] trial  2 measure  18/100: 92.96 ms
[ ssh/interactive_shell ] trial  2 measure  19/100: 21.79 ms
[ ssh/interactive_shell ] trial  2 measure  20/100: 68.04 ms
[ ssh/interactive_shell ] trial  2 measure  21/100: 179.51 ms
[ ssh/interactive_shell ] trial  2 measure  22/100: 27.24 ms
[ ssh/interactive_shell ] trial  2 measure  23/100: 30.84 ms
[ ssh/interactive_shell ] trial  2 measure  24/100: 87.01 ms
[ ssh/interactive_shell ] trial  2 measure  25/100: 7.70 ms
[ ssh/interactive_shell ] trial  2 measure  26/100: 64.34 ms
[ ssh/interactive_shell ] trial  2 measure  27/100: 64.83 ms
[ ssh/interactive_shell ] trial  2 measure  28/100: 68.75 ms
[ ssh/interactive_shell ] trial  2 measure  29/100: 141.48 ms
[ ssh/interactive_shell ] trial  2 measure  30/100: 88.70 ms
[ ssh/interactive_shell ] trial  2 measure  31/100: 174.74 ms
[ ssh/interactive_shell ] trial  2 measure  32/100: 11.50 ms
[ ssh/interactive_shell ] trial  2 measure  33/100: 37.54 ms
[ ssh/interactive_shell ] trial  2 measure  34/100: 60.22 ms
[ ssh/interactive_shell ] trial  2 measure  35/100: 90.56 ms
[ ssh/interactive_shell ] trial  2 measure  36/100: 34.65 ms
[ ssh/interactive_shell ] trial  2 measure  37/100: 17.58 ms
[ ssh/interactive_shell ] trial  2 measure  38/100: 50.86 ms
[ ssh/interactive_shell ] trial  2 measure  39/100: 102.50 ms
[ ssh/interactive_shell ] trial  2 measure  40/100: 87.71 ms
[ ssh/interactive_shell ] trial  2 measure  41/100: 40.51 ms
[ ssh/interactive_shell ] trial  2 measure  42/100: 27.87 ms
[ ssh/interactive_shell ] trial  2 measure  43/100: 58.34 ms
[ ssh/interactive_shell ] trial  2 measure  44/100: 77.29 ms
[ ssh/interactive_shell ] trial  2 measure  45/100: 139.39 ms
[ ssh/interactive_shell ] trial  2 measure  46/100: 29.28 ms
[ ssh/interactive_shell ] trial  2 measure  47/100: 48.68 ms
[ ssh/interactive_shell ] trial  2 measure  48/100: 8.19 ms
[ ssh/interactive_shell ] trial  2 measure  49/100: 58.35 ms
