scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,36,1,find /etc /var/log -type f 2>/dev/null,1832.097671,28772,15.336331,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,37,1,find /etc /var/log -type f 2>/dev/null,1807.597564,28772,15.544199,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,38,1,find /etc /var/log -type f 2>/dev/null,2168.527721,28772,12.957020,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,39,1,find /etc /var/log -type f 2>/dev/null,1506.335593,28772,18.652986,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,40,1,find /etc /var/log -type f 2>/dev/null,988.005275,28772,28.438771,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,41,1,find /etc /var/log -type f 2>/dev/null,1032.862050,28772,27.203687,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,42,1,find /etc /var/log -type f 2>/dev/null,817.991403,28772,34.349574,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,43,1,find /etc /var/log -type f 2>/dev/null,947.902645,28772,29.641922,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,44,1,find /etc /var/log -type f 2>/dev/null,877.381580,28772,32.024443,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,45,1,find /etc /var/log -type f 2>/dev/null,1204.819215,28772,23.321056,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,46,1,find /etc /var/log -type f 2>/dev/null,1180.898379,28772,23.793458,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,47,1,find /etc /var/log -type f 2>/dev/null,795.207781,28772,35.333729,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,48,1,find /etc /var/log -type f 2>/dev/null,778.234110,28772,36.104375,100.00,ok,,
