scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /,2,30,1,find /,25757.568280,16055545,608.723735,100.00,ok,,
unspecified,ssh,find /,3,1,1,find /,13851.370643,16071451,1133.084716,100.00,ok,,
unspecified,ssh,find /,3,2,1,find /,12055.801079,16076411,1302.246115,100.00,ok,,
unspecified,ssh,find /,3,3,1,find /,23103.184262,16076411,679.543562,100.00,ok,,
unspecified,ssh,find /,3,4,1,find /,22239.606572,16076411,705.930659,100.00,ok,,
unspecified,ssh,find /,3,5,1,find /,14474.450345,16055612,1083.240346,100.00,ok,,
unspecified,ssh,find /,3,6,1,find /,14878.396389,16055545,1053.826149,100.00,ok,,
unspecified,ssh,find /,3,7,1,find /,13161.010532,16065978,1192.114511,100.00,ok,,
unspecified,ssh,find /,3,8,1,find /,10187.594779,16065978,1540.052582,100.00,ok,,
unspecified,ssh,find /,3,9,1,find /,21040.325975,16055545,745.199632,100.00,ok,,
unspecified,ssh,find /,3,10,1,find /,23283.162211,16086844,674.728306,100.00,ok,,
unspecified,ssh,find /,3,11,1,find /,17257.755808,16086844,910.304258,100.00,ok,,
unspecified,ssh,find /,3,12,1,find /,19284.400823,16086844,814.638149,100.00,ok,,
unspecified,ssh,find /,3,13,1,find /,13359.340970,16097277,1176.704532,100.00,ok,,
unspecified,ssh,find /,3,14,1,find /,16901.370553,16086844,929.499093,100.00,ok,,
unspecified,ssh,find /,3,15,1,find /,18794.374918,16076478,835.339596,100.00,ok,,
unspecified,ssh,find /,3,16,1,find /,15905.372257,16076411,987.063985,100.00,ok,,
unspecified,ssh,find /,3,17,1,find /,16714.600028,16086844,939.885404,100.00,ok,,
unspecified,ssh,find /,3,18,1,find /,17545.424995,16076411,894.798509,100.00,ok,,
unspecified,ssh,find /,3,19,1,find /,12554.886356,16076411,1250.478871,100.00,ok,,
unspecified,ssh,find /,3,20,1,find /,13647.815758,16066045,1149.597661,100.00,ok,,
unspecified,ssh,find /,3,21,1,find /,14746.880798,16076411,1064.606159,100.00,ok,,
unspecified,ssh,find /,3,22,1,find /,14995.159571,16076411,1046.979196,100.00,ok,,
unspecified,ssh,find /,3,23,1,find /,15615.843302,16076411,1005.364860,100.00,ok,,
unspecified,ssh,find /,3,24,1,find /,13054.825468,16086844,1203.371783,100.00,ok,,
unspecified,ssh,find /,3,25,1,find /,13887.365680,16086844,1131.230282,100.00,ok,,
unspecified,ssh,find /,3,26,1,find /,15678.111222,16086844,1002.021760,100.00,ok,,
unspecified,ssh,find /,3,27,1,find /,9888.642637,16097277,1589.702212,100.00,ok,,
unspecified,ssh,find /,3,28,1,find /,11044.541688,16086911,1422.410677,100.00,ok,,
unspecified,ssh,find /,3,29,1,find /,15891.510785,16055545,986.642704,100.00,ok,,
unspecified,ssh,find /,3,30,1,find /,12573.693506,16065978,1247.798162,100.00,ok,,
unspecified,ssh,find /,4,1,1,find /,10486.000660,16065978,1496.226459,100.00,ok,,
unspecified,ssh,find /,4,2,1,find /,15681.605830,16076411,1001.148753,100.00,ok,,
unspecified,ssh,find /,4,3,1,find /,14491.454289,16066045,1082.672364,100.00,ok,,
unspecified,ssh,find /,4,4,1,find /,16124.357347,16086844,974.290526,100.00,ok,,
unspecified,ssh,find /,4,5,1,find /,19516.308707,16086844,804.957988,100.00,ok,,
unspecified,ssh,find /,4,6,1,find /,15869.067518,16086844,989.964191,100.00,ok,,
unspecified,ssh,find /,4,7,1,find /,12622.177417,16076478,1243.817531,100.00,ok,,
unspecified,ssh,find /,4,8,1,find /,10902.914297,16076411,1439.947127,100.00,ok,,
unspecified,ssh,find /,4,9,1,find /,10678.901333,16076411,1470.153120,100.00,ok,,
unspecified,ssh,find /,4,10,1,find /,12815.802878,16081884,1225.437454,100.00,ok,,
unspecified,ssh,find /,4,11,1,find /,12336.610826,16076411,1272.603987,100.00,ok,,
unspecified,ssh,find /,4,12,1,find /,7258.960990,16076411,2162.791636,100.00,ok,,
unspecified,ssh,find /,4,13,1,find /,25574.490750,16066045,613.482287,100.00,ok,,
unspecified,ssh,find /,4,14,1,find /,14834.933356,16076411,1058.287202,100.00,ok,,
unspecified,ssh,find /,4,15,1,find /,11975.529540,16076411,1310.975023,100.00,ok,,
unspecified,ssh,find /,4,16,1,find /,16766.215444,16065978,935.776574,100.00,ok,,
unspecified,ssh,find /,4,17,1,find /,12302.492826,16065978,1275.305083,100.00,ok,,
unspecified,ssh,find /,4,18,1,find /,14454.988457,16055545,1084.694271,100.00,ok,,
unspecified,ssh,find /,4,19,1,find /,14938.921005,16055545,1049.556602,100.00,ok,,
unspecified,ssh,find /,4,20,1,find /,14622.637818,16055545,1072.258190,100.00,ok,,
unspecified,ssh,find /,4,21,1,find /,15657.224536,16055545,1001.406292,100.00,ok,,
unspecified,ssh,find /,4,22,1,find /,14115.169270,16045112,1110.086205,100.00,ok,,
unspecified,ssh,find /,4,23,1,find /,14750.166056,16045112,1062.296833,100.00,ok,,
unspecified,ssh,find /,4,24,1,find /,13522.316336,16045179,1158.760062,100.00,ok,,
unspecified,ssh,find /,4,25,1,find /,18209.901147,16045112,860.468959,100.00,ok,,
unspecified,ssh,find /,4,26,1,find /,16897.617457,16065978,928.499635,100.00,ok,,
unspecified,ssh,find /,4,27,1,find /,20055.931203,16065978,782.283878,100.00,ok,,
unspecified,ssh,find /,4,28,1,find /,14662.585158,16065978,1070.031749,100.00,ok,,
unspecified,ssh,find /,4,29,1,find /,12633.970846,16065978,1241.844851,100.00,ok,,
unspecified,ssh,find /,4,30,1,find /,13704.151122,16065978,1144.867092,100.00,ok,,
unspecified,ssh,find /,5,1,1,find /,17834.484898,16065978,879.724406,100.00,ok,,
unspecified,ssh,find /,5,2,1,find /,19846.853172,16065911,790.521604,100.00,ok,,
unspecified,ssh,find /,5,3,1,find /,9928.006654,16076411,1581.346655,100.00,ok,,
unspecified,ssh,find /,5,4,1,find /,13015.693949,16086844,1206.989705,100.00,ok,,
unspecified,ssh,find /,5,5,1,find /,13068.661952,16086844,1202.097709,100.00,ok,,
unspecified,ssh,find /,5,6,1,find /,12854.112932,16097277,1222.954641,100.00,ok,,
unspecified,ssh,find /,5,7,1,find /,11304.007473,16107710,1391.558311,100.00,ok,,
unspecified,ssh,find /,5,8,1,find /,13656.180429,16107710,1151.873002,100.00,ok,,
unspecified,ssh,find /,5,9,1,find /,22546.923112,16107710,697.664398,100.00,ok,,
unspecified,ssh,find /,5,10,1,find /,14493.828324,16107710,1085.302323,100.00,ok,,
unspecified,ssh,find /,5,11,1,find /,22824.761636,16107710,689.171953,100.00,ok,,
unspecified,ssh,find /,5,12,1,find /,13625.742508,16107710,1154.446118,100.00,ok,,
unspecified,ssh,find /,5,13,1,find /,11524.414909,16086844,1363.176241,100.00,ok,,
unspecified,ssh,find /,5,14,1,find /,13857.735570,16076411,1132.913818,100.00,ok,,
unspecified,ssh,find /,5,15,1,find /,13288.123074,16055545,1179.944156,100.00,ok,,
unspecified,ssh,find /,5,16,1,find /,11522.719253,16086844,1363.376843,100.00,ok,,
unspecified,ssh,find /,5,17,1,find /,7142.960556,16097277,2200.767727,100.00,ok,,
unspecified,ssh,find /,5,18,1,find /,10893.433762,16107710,1444.006168,100.00,ok,,
unspecified,ssh,find /,5,19,1,find /,15469.676511,16107710,1016.839980,100.00,ok,,
unspecified,ssh,find /,5,20,1,find /,13999.639955,16107710,1123.613578,100.00,ok,,
unspecified,ssh,find /,5,21,1,find /,16035.278791,16113183,981.306934,100.00,ok,,
unspecified,ssh,find /,5,22,1,find /,11898.694697,16107710,1322.009342,100.00,ok,,
