scenario,protocol,command,trial_id,session_setup_ms
default,mosh,df -h,4,880.066918
default,mosh,df -h,5,819.036476
default,mosh,df -h,6,857.075099
default,mosh,df -h,7,862.624327
default,mosh,df -h,8,849.655530
default,mosh,df -h,9,900.637034
default,mosh,df -h,10,841.505243
default,mosh,ps aux,1,1152.396616
default,mosh,ps aux,2,831.783937
default,mosh,ps aux,3,854.454818
default,mosh,ps aux,4,918.945710
default,mosh,ps aux,5,896.993228
default,mosh,ps aux,6,898.200893
default,mosh,ps aux,7,928.245332
default,mosh,ps aux,8,955.637688
default,mosh,ps aux,9,927.976791
default,mosh,ps aux,10,847.774686
default,mosh,grep -rn root /etc/,1,1110.669972
default,mosh,grep -rn root /etc/,2,840.230083
default,mosh,grep -rn root /etc/,3,863.543411
default,mosh,grep -rn root /etc/,4,886.291936
default,mosh,grep -rn root /etc/,5,860.013365
default,mosh,grep -rn root /etc/,6,849.914680
default,mosh,grep -rn root /etc/,7,837.982829
default,mosh,grep -rn root /etc/,8,961.322218
default,mosh,grep -rn root /etc/,9,820.092609
default,mosh,grep -rn root /etc/,10,829.435283
default,mosh,cat /proc/meminfo,1,1166.529330
default,mosh,cat /proc/meminfo,2,841.900302
default,mosh,cat /proc/meminfo,3,1929.550002
default,mosh,cat /proc/meminfo,4,855.245899
default,mosh,cat /proc/meminfo,5,847.839104
default,mosh,cat /proc/meminfo,6,875.570915
default,mosh,cat /proc/meminfo,7,868.943181
default,mosh,cat /proc/meminfo,8,860.326210
default,mosh,cat /proc/meminfo,9,864.645242
default,mosh,cat /proc/meminfo,10,856.565145
default,mosh,find /usr -maxdepth 3,1,869.460538
default,mosh,find /usr -maxdepth 3,2,827.848361
default,mosh,find /usr -maxdepth 3,3,863.813696
default,mosh,find /usr -maxdepth 3,4,891.582633
default,mosh,find /usr -maxdepth 3,5,914.191584
default,mosh,find /usr -maxdepth 3,6,872.677403
default,mosh,find /usr -maxdepth 3,7,865.914541
default,mosh,find /usr -maxdepth 3,8,832.261755
default,mosh,find /usr -maxdepth 3,9,869.512110
default,mosh,find /usr -maxdepth 3,10,849.508527
