[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=4185.2 ms
[ ssh/interactive_shell ] trial  1 measure  93/100: 250.11 ms
[ ssh/interactive_shell ] trial  1 measure  94/100: 242.93 ms
[ ssh/interactive_shell ] trial  1 measure  95/100: 185.13 ms
[ ssh/interactive_shell ] trial  1 measure  96/100: 517.24 ms
[ ssh/interactive_shell ] trial  1 measure  97/100: 562.72 ms
[ ssh/interactive_shell ] trial  1 measure  98/100: 250.68 ms
[ ssh/interactive_shell ] trial  1 measure  99/100: 311.27 ms
[ ssh/interactive_shell ] trial  1 measure 100/100: 461.24 ms
[ ssh/interactive_shell ] trial  2/3 opening session...
[ ssh/interactive_shell ] trial  2/3 session_setup=4399.3 ms
[ ssh/interactive_shell ] trial  2 measure   1/100: 199.34 ms
[ ssh/interactive_shell ] trial  2 measure   2/100: 211.63 ms
[ ssh/interactive_shell ] trial  2 measure   3/100: 216.84 ms
[ ssh/interactive_shell ] trial  2 measure   4/100: 240.11 ms
[ ssh/interactive_shell ] trial  2 measure   5/100: 253.09 ms
[ ssh/interactive_shell ] trial  2 measure   6/100: 276.59 ms
[ ssh/interactive_shell ] trial  2 measure   7/100: 247.36 ms
[ ssh/interactive_shell ] trial  2 measure   8/100: 250.75 ms
[ ssh/interactive_shell ] trial  2 measure   9/100: 314.49 ms
[ ssh/interactive_shell ] trial  2 measure  10/100: 276.28 ms
[ ssh/interactive_shell ] trial  2 measure  11/100: 213.45 ms
[ ssh/interactive_shell ] trial  2 measure  12/100: 263.03 ms
[ ssh/interactive_shell ] trial  2 measure  13/100: 733.86 ms
[ ssh/interactive_shell ] trial  2 measure  14/100: 256.75 ms
[ ssh/interactive_shell ] trial  2 measure  15/100: 296.06 ms
[ ssh/interactive_shell ] trial  2 measure  16/100: 166.24 ms
[ ssh/interactive_shell ] trial  2 measure  17/100: 483.25 ms
[ ssh/interactive_shell ] trial  2 measure  18/100: 245.88 ms
[ ssh/interactive_shell ] trial  2 measure  19/100: 214.87 ms
[ ssh/interactive_shell ] trial  2 measure  20/100: 256.95 ms
[ ssh/interactive_shell ] trial  2 measure  21/100: 193.51 ms
[ ssh/interactive_shell ] trial  2 measure  22/100: 207.27 ms
[ ssh/interactive_shell ] trial  2 measure  23/100: 226.79 ms
[ ssh/interactive_shell ] trial  2 measure  24/100: 283.64 ms
[ ssh/interactive_shell ] trial  2 measure  25/100: 207.10 ms
[ ssh/interactive_shell ] trial  2 measure  26/100: 207.14 ms
[ ssh/interactive_shell ] trial  2 measure  27/100: 186.19 ms
[ ssh/interactive_shell ] trial  2 measure  28/100: 251.69 ms
[ ssh/interactive_shell ] trial  2 measure  29/100: 250.60 ms
[ ssh/interactive_shell ] trial  2 measure  30/100: 260.32 ms
[ ssh/interactive_shell ] trial  2 measure  31/100: 249.90 ms
[ ssh/interactive_shell ] trial  2 measure  32/100: 207.82 ms
[ ssh/interactive_shell ] trial  2 measure  33/100: 508.78 ms
[ ssh/interactive_shell ] trial  2 measure  34/100: 278.42 ms
[ ssh/interactive_shell ] trial  2 measure  35/100: 234.63 ms
[ ssh/interactive_shell ] trial  2 measure  36/100: 265.02 ms
[ ssh/interactive_shell ] trial  2 measure  37/100: 198.12 ms
[ ssh/interactive_shell ] trial  2 measure  38/100: 273.62 ms
[ ssh/interactive_shell ] trial  2 measure  39/100: 254.95 ms
[ ssh/interactive_shell ] trial  2 measure  40/100: 413.51 ms
[ ssh/interactive_shell ] trial  2 measure  41/100: 457.00 ms
[ ssh/interactive_shell ] trial  2 measure  42/100: 194.78 ms
[ ssh/interactive_shell ] trial  2 measure  43/100: 233.26 ms
[ ssh/interactive_shell ] trial  2 measure  44/100: 218.89 ms
[ ssh/interactive_shell ] trial  2 measure  45/100: 311.66 ms
[ ssh/interactive_shell ] trial  2 measure  46/100: 215.04 ms
[ ssh/interactive_shell ] trial  2 measure  47/100: 250.34 ms
[ ssh/interactive_shell ] trial  2 measure  48/100: 274.85 ms
[ ssh/interactive_shell ] trial  2 measure  49/100: 204.48 ms
[ ssh/interactive_shell ] trial  2 measure  50/100: 207.93 ms
[ ssh/interactive_shell ] trial  2 measure  51/100: 224.83 ms
[ ssh/interactive_shell ] trial  2 measure  52/100: 375.44 ms
[ ssh/interactive_shell ] trial  2 measure  53/100: 177.68 ms
[ ssh/interactive_shell ] trial  2 measure  54/100: 229.41 ms
[ ssh/interactive_shell ] trial  2 measure  55/100: 711.11 ms
[ ssh/interactive_shell ] trial  2 measure  56/100: FAIL (TIMEOUT)
