scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,status,warmup,error_type,error_message
default,mosh,command_loop,2,34,2,df -h,111.424053,ok,0,,
default,mosh,command_loop,2,35,2,df -h,108.012916,ok,0,,
default,mosh,command_loop,2,36,2,df -h,111.456090,ok,0,,
default,mosh,command_loop,2,37,2,df -h,109.238084,ok,0,,
default,mosh,command_loop,2,38,2,df -h,109.978232,ok,0,,
default,mosh,command_loop,2,39,2,df -h,112.243723,ok,0,,
default,mosh,command_loop,2,40,2,df -h,110.417404,ok,0,,
default,mosh,command_loop,2,41,2,df -h,108.093550,ok,0,,
default,mosh,command_loop,2,42,2,df -h,108.893186,ok,0,,
default,mosh,command_loop,2,43,2,df -h,124.623713,ok,0,,
default,mosh,command_loop,2,44,2,df -h,107.744271,ok,0,,
default,mosh,command_loop,2,45,2,df -h,110.480023,ok,0,,
default,mosh,command_loop,2,46,2,df -h,108.403815,ok,0,,
default,mosh,command_loop,2,47,2,df -h,110.349385,ok,0,,
default,mosh,command_loop,2,48,2,df -h,126.714566,ok,0,,
default,mosh,command_loop,2,49,2,df -h,108.793202,ok,0,,
default,mosh,command_loop,2,50,2,df -h,126.153487,ok,0,,
default,mosh,command_loop,3,1,2,df -h,108.243020,ok,1,,
default,mosh,command_loop,3,2,2,df -h,108.870626,ok,1,,
default,mosh,command_loop,3,3,2,df -h,108.077079,ok,1,,
default,mosh,command_loop,3,4,2,df -h,108.079120,ok,0,,
default,mosh,command_loop,3,5,2,df -h,113.914462,ok,0,,
default,mosh,command_loop,3,6,2,df -h,111.435208,ok,0,,
default,mosh,command_loop,3,7,2,df -h,109.060582,ok,0,,
default,mosh,command_loop,3,8,2,df -h,109.953109,ok,0,,
default,mosh,command_loop,3,9,2,df -h,108.494160,ok,0,,
default,mosh,command_loop,3,10,2,df -h,109.264567,ok,0,,
default,mosh,command_loop,3,11,2,df -h,109.196372,ok,0,,
default,mosh,command_loop,3,12,2,df -h,109.435618,ok,0,,
default,mosh,command_loop,3,13,2,df -h,108.747042,ok,0,,
default,mosh,command_loop,3,14,2,df -h,112.011450,ok,0,,
default,mosh,command_loop,3,15,2,df -h,107.750507,ok,0,,
default,mosh,command_loop,3,16,2,df -h,114.207632,ok,0,,
default,mosh,command_loop,3,17,2,df -h,110.505710,ok,0,,
default,mosh,command_loop,3,18,2,df -h,110.196725,ok,0,,
default,mosh,command_loop,3,19,2,df -h,121.824631,ok,0,,
default,mosh,command_loop,3,20,2,df -h,109.796974,ok,0,,
default,mosh,command_loop,3,21,2,df -h,122.686102,ok,0,,
default,mosh,command_loop,3,22,2,df -h,108.249311,ok,0,,
default,mosh,command_loop,3,23,2,df -h,124.208882,ok,0,,
default,mosh,command_loop,3,24,2,df -h,115.239057,ok,0,,
default,mosh,command_loop,3,25,2,df -h,110.223453,ok,0,,
default,mosh,command_loop,3,26,2,df -h,109.913364,ok,0,,
default,mosh,command_loop,3,27,2,df -h,108.396868,ok,0,,
default,mosh,command_loop,3,28,2,df -h,108.653809,ok,0,,
default,mosh,command_loop,3,29,2,df -h,108.174375,ok,0,,
default,mosh,command_loop,3,30,2,df -h,108.429420,ok,0,,
default,mosh,command_loop,3,31,2,df -h,125.968475,ok,0,,
default,mosh,command_loop,3,32,2,df -h,109.755401,ok,0,,
default,mosh,command_loop,3,33,2,df -h,125.770704,ok,0,,
default,mosh,command_loop,3,34,2,df -h,108.673418,ok,0,,
default,mosh,command_loop,3,35,2,df -h,107.326703,ok,0,,
default,mosh,command_loop,3,36,2,df -h,108.375054,ok,0,,
default,mosh,command_loop,3,37,2,df -h,111.020808,ok,0,,
default,mosh,command_loop,3,38,2,df -h,108.726156,ok,0,,
default,mosh,command_loop,3,39,2,df -h,107.568441,ok,0,,
default,mosh,command_loop,3,40,2,df -h,108.323799,ok,0,,
default,mosh,command_loop,3,41,2,df -h,126.094462,ok,0,,
default,mosh,command_loop,3,42,2,df -h,108.613520,ok,0,,
default,mosh,command_loop,3,43,2,df -h,106.370360,ok,0,,
default,mosh,command_loop,3,44,2,df -h,205.008494,ok,0,,
default,mosh,command_loop,3,45,2,df -h,224.037604,ok,0,,
default,mosh,command_loop,3,46,2,df -h,172.345317,ok,0,,
default,mosh,command_loop,3,47,2,df -h,159.381994,ok,0,,
default,mosh,command_loop,3,48,2,df -h,201.086251,ok,0,,
default,mosh,command_loop,3,49,2,df -h,175.423056,ok,0,,
default,mosh,command_loop,3,50,2,df -h,112.136656,ok,0,,
default,mosh,command_loop,4,1,2,df -h,110.717657,ok,1,,
default,mosh,command_loop,4,2,2,df -h,112.222188,ok,1,,
default,mosh,command_loop,4,3,2,df -h,125.331935,ok,1,,
default,mosh,command_loop,4,4,2,df -h,116.565932,ok,0,,
default,mosh,command_loop,4,5,2,df -h,112.888771,ok,0,,
default,mosh,command_loop,4,6,2,df -h,116.873763,ok,0,,
default,mosh,command_loop,4,7,2,df -h,122.613976,ok,0,,
default,mosh,command_loop,4,8,2,df -h,114.451482,ok,0,,
default,mosh,command_loop,4,9,2,df -h,109.711870,ok,0,,
default,mosh,command_loop,4,10,2,df -h,109.038472,ok,0,,
default,mosh,command_loop,4,11,2,df -h,108.792734,ok,0,,
default,mosh,command_loop,4,12,2,df -h,110.531095,ok,0,,
default,mosh,command_loop,4,13,2,df -h,109.629231,ok,0,,
default,mosh,command_loop,4,14,2,df -h,112.534413,ok,0,,
default,mosh,command_loop,4,15,2,df -h,108.399350,ok,0,,
default,mosh,command_loop,4,16,2,df -h,107.513489,ok,0,,
default,mosh,command_loop,4,17,2,df -h,125.008341,ok,0,,
default,mosh,command_loop,4,18,2,df -h,112.639233,ok,0,,
default,mosh,command_loop,4,19,2,df -h,111.554752,ok,0,,
default,mosh,command_loop,4,20,2,df -h,108.561240,ok,0,,
default,mosh,command_loop,4,21,2,df -h,107.639422,ok,0,,
default,mosh,command_loop,4,22,2,df -h,109.559193,ok,0,,
default,mosh,command_loop,4,23,2,df -h,113.145065,ok,0,,
default,mosh,command_loop,4,24,2,df -h,108.315816,ok,0,,
default,mosh,command_loop,4,25,2,df -h,111.018156,ok,0,,
default,mosh,command_loop,4,26,2,df -h,109.649904,ok,0,,
default,mosh,command_loop,4,27,2,df -h,110.429234,ok,0,,
default,mosh,command_loop,4,28,2,df -h,110.999109,ok,0,,
default,mosh,command_loop,4,29,2,df -h,110.346714,ok,0,,
default,mosh,command_loop,4,30,2,df -h,107.176173,ok,0,,
default,mosh,command_loop,4,31,2,df -h,111.096769,ok,0,,
default,mosh,command_loop,4,32,2,df -h,113.464662,ok,0,,
default,mosh,command_loop,4,33,2,df -h,108.939408,ok,0,,
default,mosh,command_loop,4,34,2,df -h,128.883303,ok,0,,
default,mosh,command_loop,4,35,2,df -h,109.079968,ok,0,,
default,mosh,command_loop,4,36,2,df -h,113.221384,ok,0,,
default,mosh,command_loop,4,37,2,df -h,111.014269,ok,0,,
default,mosh,command_loop,4,38,2,df -h,114.135222,ok,0,,
default,mosh,command_loop,4,39,2,df -h,125.418801,ok,0,,
default,mosh,command_loop,4,40,2,df -h,109.334165,ok,0,,
default,mosh,command_loop,4,41,2,df -h,109.341318,ok,0,,
default,mosh,command_loop,4,42,2,df -h,109.238508,ok,0,,
default,mosh,command_loop,4,43,2,df -h,108.558056,ok,0,,
default,mosh,command_loop,4,44,2,df -h,107.672346,ok,0,,
default,mosh,command_loop,4,45,2,df -h,125.418514,ok,0,,
default,mosh,command_loop,4,46,2,df -h,113.120938,ok,0,,
default,mosh,command_loop,4,47,2,df -h,108.815788,ok,0,,
default,mosh,command_loop,4,48,2,df -h,108.660783,ok,0,,
default,mosh,command_loop,4,49,2,df -h,124.749929,ok,0,,
default,mosh,command_loop,4,50,2,df -h,109.526266,ok,0,,
default,mosh,command_loop,5,1,2,df -h,111.559797,ok,1,,
default,mosh,command_loop,5,2,2,df -h,109.470226,ok,1,,
default,mosh,command_loop,5,3,2,df -h,109.010870,ok,1,,
default,mosh,command_loop,5,4,2,df -h,128.205527,ok,0,,
default,mosh,command_loop,5,5,2,df -h,108.584505,ok,0,,
default,mosh,command_loop,5,6,2,df -h,110.488389,ok,0,,
default,mosh,command_loop,5,7,2,df -h,133.137599,ok,0,,
default,mosh,command_loop,5,8,2,df -h,111.985416,ok,0,,
default,mosh,command_loop,5,9,2,df -h,113.028002,ok,0,,
default,mosh,command_loop,5,10,2,df -h,114.117513,ok,0,,
default,mosh,command_loop,5,11,2,df -h,116.964475,ok,0,,
default,mosh,command_loop,5,12,2,df -h,113.606966,ok,0,,
default,mosh,command_loop,5,13,2,df -h,186.961091,ok,0,,
default,mosh,command_loop,5,14,2,df -h,179.636640,ok,0,,
default,mosh,command_loop,5,15,2,df -h,139.320257,ok,0,,
default,mosh,command_loop,5,16,2,df -h,114.683907,ok,0,,
default,mosh,command_loop,5,17,2,df -h,113.173205,ok,0,,
default,mosh,command_loop,5,18,2,df -h,112.144193,ok,0,,
default,mosh,command_loop,5,19,2,df -h,142.662225,ok,0,,
default,mosh,command_loop,5,20,2,df -h,131.287864,ok,0,,
default,mosh,command_loop,5,21,2,df -h,116.899948,ok,0,,
default,mosh,command_loop,5,22,2,df -h,112.559687,ok,0,,
default,mosh,command_loop,5,23,2,df -h,131.092875,ok,0,,
default,mosh,command_loop,5,24,2,df -h,138.188694,ok,0,,
default,mosh,command_loop,5,25,2,df -h,112.958487,ok,0,,
default,mosh,command_loop,5,26,2,df -h,223.806700,ok,0,,
default,mosh,command_loop,5,27,2,df -h,132.600385,ok,0,,
default,mosh,command_loop,5,28,2,df -h,119.543303,ok,0,,
default,mosh,command_loop,5,29,2,df -h,203.705824,ok,0,,
default,mosh,command_loop,5,30,2,df -h,114.993659,ok,0,,
default,mosh,command_loop,5,31,2,df -h,116.694858,ok,0,,
default,mosh,command_loop,5,32,2,df -h,181.999307,ok,0,,
default,mosh,command_loop,5,33,2,df -h,178.190548,ok,0,,
default,mosh,command_loop,5,34,2,df -h,135.165609,ok,0,,
default,mosh,command_loop,5,35,2,df -h,112.104975,ok,0,,
default,mosh,command_loop,5,36,2,df -h,110.676993,ok,0,,
default,mosh,command_loop,5,37,2,df -h,115.543682,ok,0,,
default,mosh,command_loop,5,38,2,df -h,118.241978,ok,0,,
default,mosh,command_loop,5,39,2,df -h,116.265431,ok,0,,
default,mosh,command_loop,5,40,2,df -h,113.864366,ok,0,,
default,mosh,command_loop,5,41,2,df -h,112.219746,ok,0,,
default,mosh,command_loop,5,42,2,df -h,186.385012,ok,0,,
default,mosh,command_loop,5,43,2,df -h,111.511294,ok,0,,
default,mosh,command_loop,5,44,2,df -h,108.265302,ok,0,,
default,mosh,command_loop,5,45,2,df -h,111.298987,ok,0,,
default,mosh,command_loop,5,46,2,df -h,109.676226,ok,0,,
default,mosh,command_loop,5,47,2,df -h,112.491671,ok,0,,
default,mosh,command_loop,5,48,2,df -h,111.643503,ok,0,,
default,mosh,command_loop,5,49,2,df -h,109.299291,ok,0,,
default,mosh,command_loop,5,50,2,df -h,109.181537,ok,0,,
default,mosh,command_loop,6,1,2,df -h,119.715176,ok,1,,
default,mosh,command_loop,6,2,2,df -h,112.216815,ok,1,,
default,mosh,command_loop,6,3,2,df -h,109.239845,ok,1,,
default,mosh,command_loop,6,4,2,df -h,109.194669,ok,0,,
default,mosh,command_loop,6,5,2,df -h,112.035501,ok,0,,
default,mosh,command_loop,6,6,2,df -h,121.914964,ok,0,,
default,mosh,command_loop,6,7,2,df -h,109.125547,ok,0,,
default,mosh,command_loop,6,8,2,df -h,108.132899,ok,0,,
default,mosh,command_loop,6,9,2,df -h,109.041707,ok,0,,
default,mosh,command_loop,6,10,2,df -h,127.679740,ok,0,,
default,mosh,command_loop,6,11,2,df -h,119.218459,ok,0,,
default,mosh,command_loop,6,12,2,df -h,119.327121,ok,0,,
default,mosh,command_loop,6,13,2,df -h,110.630014,ok,0,,
default,mosh,command_loop,6,14,2,df -h,112.571020,ok,0,,
default,mosh,command_loop,6,15,2,df -h,108.392135,ok,0,,
default,mosh,command_loop,6,16,2,df -h,114.476920,ok,0,,
default,mosh,command_loop,6,17,2,df -h,114.905413,ok,0,,
default,mosh,command_loop,6,18,2,df -h,110.944069,ok,0,,
default,mosh,command_loop,6,19,2,df -h,114.126521,ok,0,,
default,mosh,command_loop,6,20,2,df -h,112.848068,ok,0,,
default,mosh,command_loop,6,21,2,df -h,111.971893,ok,0,,
default,mosh,command_loop,6,22,2,df -h,114.688987,ok,0,,
default,mosh,command_loop,6,23,2,df -h,112.454172,ok,0,,
default,mosh,command_loop,6,24,2,df -h,107.859869,ok,0,,
default,mosh,command_loop,6,25,2,df -h,113.261946,ok,0,,
default,mosh,command_loop,6,26,2,df -h,121.269596,ok,0,,
default,mosh,command_loop,6,27,2,df -h,113.702688,ok,0,,
default,mosh,command_loop,6,28,2,df -h,112.217184,ok,0,,
default,mosh,command_loop,6,29,2,df -h,116.048924,ok,0,,
default,mosh,command_loop,6,30,2,df -h,122.978614,ok,0,,
default,mosh,command_loop,6,31,2,df -h,111.559728,ok,0,,
default,mosh,command_loop,6,32,2,df -h,113.433100,ok,0,,
default,mosh,command_loop,6,33,2,df -h,122.082117,ok,0,,
default,mosh,command_loop,6,34,2,df -h,108.514396,ok,0,,
default,mosh,command_loop,6,35,2,df -h,113.288627,ok,0,,
default,mosh,command_loop,6,36,2,df -h,122.178175,ok,0,,
default,mosh,command_loop,6,37,2,df -h,113.564460,ok,0,,
default,mosh,command_loop,6,38,2,df -h,126.502107,ok,0,,
default,mosh,command_loop,6,39,2,df -h,154.866711,ok,0,,
default,mosh,command_loop,6,40,2,df -h,146.741697,ok,0,,
default,mosh,command_loop,6,41,2,df -h,113.033924,ok,0,,
default,mosh,command_loop,6,42,2,df -h,124.476088,ok,0,,
default,mosh,command_loop,6,43,2,df -h,122.813894,ok,0,,
default,mosh,command_loop,6,44,2,df -h,113.205759,ok,0,,
default,mosh,command_loop,6,45,2,df -h,111.653975,ok,0,,
default,mosh,command_loop,6,46,2,df -h,110.742996,ok,0,,
default,mosh,command_loop,6,47,2,df -h,110.892381,ok,0,,
default,mosh,command_loop,6,48,2,df -h,108.305205,ok,0,,
default,mosh,command_loop,6,49,2,df -h,112.366039,ok,0,,
default,mosh,command_loop,6,50,2,df -h,111.306413,ok,0,,
default,mosh,command_loop,7,1,2,df -h,110.952504,ok,1,,
default,mosh,command_loop,7,2,2,df -h,108.551327,ok,1,,
default,mosh,command_loop,7,3,2,df -h,108.700755,ok,1,,
default,mosh,command_loop,7,4,2,df -h,129.041238,ok,0,,
default,mosh,command_loop,7,5,2,df -h,109.086070,ok,0,,
default,mosh,command_loop,7,6,2,df -h,111.130006,ok,0,,
default,mosh,command_loop,7,7,2,df -h,107.732390,ok,0,,
default,mosh,command_loop,7,8,2,df -h,110.825790,ok,0,,
default,mosh,command_loop,7,9,2,df -h,107.651312,ok,0,,
default,mosh,command_loop,7,10,2,df -h,109.286470,ok,0,,
default,mosh,command_loop,7,11,2,df -h,110.668651,ok,0,,
default,mosh,command_loop,7,12,2,df -h,108.188901,ok,0,,
default,mosh,command_loop,7,13,2,df -h,109.104624,ok,0,,
default,mosh,command_loop,7,14,2,df -h,124.755598,ok,0,,
