scenario,protocol,command,trial_id,session_setup_ms
default,mosh,df -h,1,941.786136
default,mosh,df -h,2,944.901145
default,mosh,df -h,3,919.985149
default,mosh,df -h,4,2581.822357
default,mosh,df -h,5,925.949111
default,mosh,df -h,6,908.677362
default,mosh,df -h,7,910.594512
default,mosh,df -h,8,944.540679
default,mosh,df -h,9,939.451758
default,mosh,df -h,10,966.049940
default,mosh,ps aux,1,946.163695
default,mosh,ps aux,2,1028.094810
default,mosh,ps aux,3,938.007706
default,mosh,ps aux,4,1024.649009
default,mosh,ps aux,5,960.845493
default,mosh,ps aux,6,958.017837
default,mosh,ps aux,7,953.448468
default,mosh,ps aux,8,939.347092
default,mosh,ps aux,9,1234.481672
default,mosh,ps aux,10,943.472262
default,mosh,grep -n root /etc/passwd,1,949.315330
default,mosh,grep -n root /etc/passwd,2,905.766213
default,mosh,grep -n root /etc/passwd,3,948.796681
default,mosh,grep -n root /etc/passwd,4,974.481151
default,mosh,grep -n root /etc/passwd,5,914.985881
default,mosh,grep -n root /etc/passwd,6,2114.309437
default,mosh,grep -n root /etc/passwd,7,941.561470
default,mosh,grep -n root /etc/passwd,8,958.565110
default,mosh,grep -n root /etc/passwd,9,1386.363969
default,mosh,grep -n root /etc/passwd,10,1192.381413
default,mosh,cat /proc/meminfo,1,907.283184
default,mosh,cat /proc/meminfo,2,917.417284
default,mosh,cat /proc/meminfo,3,942.030839
default,mosh,cat /proc/meminfo,4,941.654655
default,mosh,cat /proc/meminfo,5,917.381950
default,mosh,cat /proc/meminfo,6,1003.096093
default,mosh,cat /proc/meminfo,7,955.295865
default,mosh,cat /proc/meminfo,8,936.504445
default,mosh,cat /proc/meminfo,9,948.334341
default,mosh,cat /proc/meminfo,10,932.450227
default,mosh,find /usr -maxdepth 3,1,928.658186
default,mosh,find /usr -maxdepth 3,2,1151.075132
default,mosh,find /usr -maxdepth 3,3,973.501379
default,mosh,find /usr -maxdepth 3,4,941.727570
default,mosh,find /usr -maxdepth 3,5,945.388853
default,mosh,find /usr -maxdepth 3,6,989.631885
default,mosh,find /usr -maxdepth 3,7,909.047205
default,mosh,find /usr -maxdepth 3,8,1189.946843
default,mosh,find /usr -maxdepth 3,9,921.730542
default,mosh,find /usr -maxdepth 3,10,943.369542
