scenario,protocol,command,trial_id,session_setup_ms
unspecified,ssh,ls,1,737.576880
unspecified,ssh,ls,2,814.664774
unspecified,ssh,ls,3,849.000043
unspecified,ssh,df -h,1,821.387336
unspecified,ssh,df -h,2,878.472301
unspecified,ssh,df -h,3,878.962591
unspecified,ssh,ps aux,1,841.002877
unspecified,ssh,ps aux,2,744.896587
unspecified,ssh,ps aux,3,810.424151
unspecified,ssh,grep -n root /etc/passwd,1,789.793248
unspecified,ssh,grep -n root /etc/passwd,2,871.712240
unspecified,ssh,grep -n root /etc/passwd,3,818.323899
unspecified,ssh,cat /proc/meminfo,1,860.330500
unspecified,ssh,cat /proc/meminfo,2,833.957344
unspecified,ssh,cat /proc/meminfo,3,742.705447
unspecified,ssh,find /usr -maxdepth 3,1,799.183902
unspecified,ssh,find /usr -maxdepth 3,2,743.536774
unspecified,ssh,find /usr -maxdepth 3,3,757.823308
unspecified,ssh3,ls,1,281.273590
unspecified,ssh3,ls,2,382.553199
unspecified,ssh3,ls,3,405.980609
unspecified,ssh3,df -h,1,408.384682
unspecified,ssh3,df -h,2,384.602095
unspecified,ssh3,df -h,3,397.686478
unspecified,ssh3,ps aux,1,377.128087
unspecified,ssh3,ps aux,2,338.925781
unspecified,ssh3,ps aux,3,343.162652
unspecified,ssh3,grep -n root /etc/passwd,1,311.342812
unspecified,ssh3,grep -n root /etc/passwd,2,374.694632
unspecified,ssh3,grep -n root /etc/passwd,3,388.027957
unspecified,ssh3,cat /proc/meminfo,1,433.350320
unspecified,ssh3,cat /proc/meminfo,2,429.241208
unspecified,ssh3,cat /proc/meminfo,3,374.509991
unspecified,ssh3,find /usr -maxdepth 3,1,332.189484
unspecified,ssh3,find /usr -maxdepth 3,2,279.406092
unspecified,ssh3,find /usr -maxdepth 3,3,279.162200
unspecified,mosh,ls,1,1078.257596
unspecified,mosh,ls,2,1148.262889
unspecified,mosh,ls,3,1136.813852
unspecified,mosh,df -h,1,1106.067398
unspecified,mosh,df -h,2,1202.529393
unspecified,mosh,df -h,3,1137.520160
unspecified,mosh,ps aux,1,1196.358853
unspecified,mosh,ps aux,2,1189.398719
unspecified,mosh,ps aux,3,1169.929018
unspecified,mosh,grep -n root /etc/passwd,1,1162.640012
unspecified,mosh,grep -n root /etc/passwd,2,1171.390627
unspecified,mosh,grep -n root /etc/passwd,3,1190.058800
unspecified,mosh,cat /proc/meminfo,1,1194.681815
unspecified,mosh,cat /proc/meminfo,2,1177.167181
unspecified,mosh,cat /proc/meminfo,3,1201.993498
unspecified,mosh,find /usr -maxdepth 3,1,1218.625438
unspecified,mosh,find /usr -maxdepth 3,2,1161.130390
unspecified,mosh,find /usr -maxdepth 3,3,1138.303146
