scenario,protocol,command,trial_id,session_setup_ms
low,mosh,grep -n root /etc/passwd,3,558.121973
low,mosh,grep -n root /etc/passwd,4,550.006578
low,mosh,grep -n root /etc/passwd,5,564.628213
low,mosh,grep -n root /etc/passwd,6,557.558374
low,mosh,grep -n root /etc/passwd,7,543.631604
low,mosh,grep -n root /etc/passwd,8,567.005923
low,mosh,grep -n root /etc/passwd,9,547.422989
low,mosh,grep -n root /etc/passwd,10,606.993288
low,mosh,cat /proc/meminfo,1,771.236646
low,mosh,cat /proc/meminfo,2,608.488476
low,mosh,cat /proc/meminfo,3,547.416741
low,mosh,cat /proc/meminfo,4,535.852991
low,mosh,cat /proc/meminfo,5,544.781490
low,mosh,cat /proc/meminfo,6,546.092281
low,mosh,cat /proc/meminfo,7,609.233319
low,mosh,cat /proc/meminfo,8,553.811870
low,mosh,cat /proc/meminfo,9,528.119742
low,mosh,cat /proc/meminfo,10,533.828968
low,mosh,find /usr -maxdepth 3,1,555.252367
low,mosh,find /usr -maxdepth 3,2,623.373363
low,mosh,find /usr -maxdepth 3,3,608.958980
low,mosh,find /usr -maxdepth 3,4,616.322312
low,mosh,find /usr -maxdepth 3,5,570.009417
low,mosh,find /usr -maxdepth 3,6,574.838039
low,mosh,find /usr -maxdepth 3,7,557.556868
low,mosh,find /usr -maxdepth 3,8,631.397229
low,mosh,find /usr -maxdepth 3,9,550.914641
low,mosh,find /usr -maxdepth 3,10,546.093723
