protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,status,error_type,error_message
ssh,find /,1,81,1,find /,499.796769,32610,63.717305,ok,,
ssh,find /,1,82,1,find /,394.894941,32610,80.643482,ok,,
ssh,find /,1,83,1,find /,353.130094,32610,90.181221,ok,,
ssh,find /,1,84,1,find /,429.364690,32610,74.169357,ok,,
ssh,find /,1,85,1,find /,422.546514,32610,75.366148,ok,,
ssh,find /,1,86,1,find /,404.339341,32610,78.759843,ok,,
ssh,find /,1,87,1,find /,468.346222,32610,67.996071,ok,,
ssh,find /,1,88,1,find /,435.743499,32610,73.083599,ok,,
ssh,find /,1,89,1,find /,498.880349,32610,63.834351,ok,,
ssh,find /,1,90,1,find /,372.083521,32610,85.587513,ok,,
ssh,find /,1,91,1,find /,383.037818,32610,83.139841,ok,,
ssh,find /,1,92,1,find /,322.791484,32610,98.657197,ok,,
ssh,find /,1,93,1,find /,369.912425,32610,86.089844,ok,,
ssh,find /,1,94,1,find /,322.442098,32610,98.764098,ok,,
ssh,find /,1,95,1,find /,403.587605,32610,78.906544,ok,,
ssh,find /,1,96,1,find /,327.801080,32610,97.149476,ok,,
ssh,find /,1,97,1,find /,398.486565,32610,79.916629,ok,,
ssh,find /,1,98,1,find /,388.345263,32610,82.003583,ok,,
ssh,find /,1,99,1,find /,603.609808,32610,52.758757,ok,,
ssh,find /,1,100,1,find /,359.913955,32610,88.481435,ok,,
ssh,find /,2,1,1,find /,384.731751,32610,82.773785,ok,,
ssh,find /,2,2,1,find /,311.213100,32610,102.327643,ok,,
ssh,find /,2,3,1,find /,349.112473,32610,91.219036,ok,,
ssh,find /,2,4,1,find /,268.230631,32610,118.725080,ok,,
ssh,find /,2,5,1,find /,350.887166,32610,90.757674,ok,,
ssh,find /,2,6,1,find /,308.985411,32610,103.065394,ok,,
ssh,find /,2,7,1,find /,313.002274,32610,101.742721,ok,,
ssh,find /,2,8,1,find /,337.341498,32625,94.445397,ok,,
ssh,find /,2,9,1,find /,411.550570,32610,77.379806,ok,,
ssh,find /,2,10,1,find /,457.152633,32610,69.660986,ok,,
ssh,find /,2,11,1,find /,427.665350,32610,74.464071,ok,,
ssh,find /,2,12,1,find /,445.216027,32610,71.528654,ok,,
ssh,find /,2,13,1,find /,254.443595,32610,125.158203,ok,,
ssh,find /,2,14,1,find /,388.466393,32610,81.978013,ok,,
ssh,find /,2,15,1,find /,357.362603,32610,89.113138,ok,,
ssh,find /,2,16,1,find /,412.504638,32610,77.200837,ok,,
ssh,find /,2,17,1,find /,421.901593,32610,75.481353,ok,,
ssh,find /,2,18,1,find /,402.004153,32625,79.253787,ok,,
ssh,find /,2,19,1,find /,418.021119,32610,76.182044,ok,,
ssh,find /,2,20,1,find /,328.682945,32610,96.888821,ok,,
ssh,find /,2,21,1,find /,306.452336,32610,103.917312,ok,,
ssh,find /,2,22,1,find /,353.921312,32610,89.979614,ok,,
ssh,find /,2,23,1,find /,337.772624,32610,94.281481,ok,,
ssh,find /,2,24,1,find /,459.918965,32610,69.241987,ok,,
ssh,find /,2,25,1,find /,527.495787,32610,60.371483,ok,,
ssh,find /,2,26,1,find /,557.991673,32610,57.072004,ok,,
ssh,find /,2,27,1,find /,600.608774,32610,53.022374,ok,,
ssh,find /,2,28,1,find /,539.125172,32610,59.069220,ok,,
ssh,find /,2,29,1,find /,630.209241,32610,50.531952,ok,,
ssh,find /,2,30,1,find /,571.374768,32610,55.735228,ok,,
ssh,find /,2,31,1,find /,501.820127,32610,63.460394,ok,,
ssh,find /,2,32,1,find /,572.452890,32610,55.630260,ok,,
ssh,find /,2,33,1,find /,455.572458,32610,69.902608,ok,,
ssh,find /,2,34,1,find /,433.874568,32610,73.398409,ok,,
ssh,find /,2,35,1,find /,469.575790,32610,67.818026,ok,,
ssh,find /,2,36,1,find /,403.876122,32610,78.850176,ok,,
ssh,find /,2,37,1,find /,443.833482,32610,71.751466,ok,,
ssh,find /,2,38,1,find /,418.923021,32610,76.018031,ok,,
ssh,find /,2,39,1,find /,327.009142,32610,97.384749,ok,,
ssh,find /,2,40,1,find /,342.143188,32610,93.077122,ok,,
ssh,find /,2,41,1,find /,296.396905,32625,107.492187,ok,,
ssh,find /,2,42,1,find /,361.635538,32610,88.060215,ok,,
ssh,find /,2,43,1,find /,479.735684,32610,66.381769,ok,,
ssh,find /,2,44,1,find /,458.421828,32610,69.468121,ok,,
ssh,find /,2,45,1,find /,399.970075,32610,79.620214,ok,,
ssh,find /,2,46,1,find /,375.279983,32610,84.858518,ok,,
ssh,find /,2,47,1,find /,525.677041,32610,60.580358,ok,,
ssh,find /,2,48,1,find /,505.083142,32610,63.050418,ok,,
ssh,find /,2,49,1,find /,502.111848,32610,63.423525,ok,,
ssh,find /,2,50,1,find /,374.173083,32610,85.109551,ok,,
ssh,find /,2,51,1,find /,522.566598,32610,60.940947,ok,,
ssh,find /,2,52,1,find /,382.016307,32610,83.362156,ok,,
ssh,find /,2,53,1,find /,306.374652,32610,103.943662,ok,,
ssh,find /,2,54,1,find /,405.060929,32610,78.619538,ok,,
ssh,find /,2,55,1,find /,356.446480,32625,89.383269,ok,,
ssh,find /,2,56,1,find /,328.762520,32610,96.865370,ok,,
ssh,find /,2,57,1,find /,626.075658,32625,50.888980,ok,,
ssh,find /,2,58,1,find /,455.680162,32610,69.886086,ok,,
ssh,find /,2,59,1,find /,452.774496,32610,70.334578,ok,,
ssh,find /,2,60,1,find /,565.699437,32610,56.294387,ok,,
ssh,find /,2,61,1,find /,479.354168,32610,66.434601,ok,,
ssh,find /,2,62,1,find /,552.363564,32610,57.653519,ok,,
ssh,find /,2,63,1,find /,522.428545,32610,60.957050,ok,,
ssh,find /,2,64,1,find /,491.052553,32610,64.851925,ok,,
ssh,find /,2,65,1,find /,599.903281,32610,53.084729,ok,,
ssh,find /,2,66,1,find /,706.682929,32610,45.063637,ok,,
ssh,find /,2,67,1,find /,688.225499,32610,46.272193,ok,,
ssh,find /,2,68,1,find /,711.294436,32610,44.771478,ok,,
ssh,find /,2,69,1,find /,584.033813,32610,54.527157,ok,,
ssh,find /,2,70,1,find /,799.471950,32610,39.833421,ok,,
ssh,find /,2,71,1,find /,683.071126,32610,46.621357,ok,,
ssh,find /,2,72,1,find /,607.400675,32610,52.429483,ok,,
ssh,find /,2,73,1,find /,463.773238,32610,68.666539,ok,,
ssh,find /,2,74,1,find /,519.626304,32610,61.285780,ok,,
ssh,find /,2,75,1,find /,553.745611,32610,57.509626,ok,,
ssh,find /,2,76,1,find /,387.958898,32610,82.085250,ok,,
ssh,find /,2,77,1,find /,468.776815,32610,67.933614,ok,,
ssh,find /,2,78,1,find /,437.657136,32610,72.764044,ok,,
ssh,find /,2,79,1,find /,355.276526,32610,89.636384,ok,,
ssh,find /,2,80,1,find /,349.670971,32610,91.073340,ok,,
ssh,find /,2,81,1,find /,358.141599,32610,88.919308,ok,,
ssh,find /,2,82,1,find /,482.407945,32610,66.014052,ok,,
ssh,find /,2,83,1,find /,389.814755,32610,81.694453,ok,,
ssh,find /,2,84,1,find /,438.559408,32610,72.614343,ok,,
